id,source,text,dataset_label,rule_label,rule,typesafe_label,typesafe_confidence,decision,decision_source
r02482,rehearsal,"Lieber Stefan V. Bestellen Sie bei uns per E-Mail oder Handy und erhalten Sie 10% Rabatt auf alle Produkte. central@csdep. net. +44 151 832 0580
MFG,Monika",ham,ham,,spam,1.0,,
r03739,rehearsal,"Dear Ajai Saroya,
Check out your email for our Christmas offer for our health products. Do not miss! 
Merry Xmas!
Yours, Suppline, central@csdep. net",ham,ham,,spam,1.0,,
r04966,rehearsal,(رابط https://goo.gl/782916),spam,spam,,remove,1.0,,
r05035,rehearsal,"Loopers, Пакет Telkomsel Flash Rp.50000 на 600 МБ и дополнительные 600 МБ на 3G + 11 ГБ (с 00 до 12) (действует 30 дней) был активирован. Пакет автоматически продлевается в конце срока действия, если вы подписаны на этот пакет.",spam,spam,,ham,1.0,,
r05242,rehearsal,Paket Anda sudah di non-aktifkan atas permintaan Anda. Penggunaan Internet anda akan di kenakan Tariff Dasar Internet sesuai skema tariff kartu Anda. Hubungi *363# untuk aktifkan Paket Internet lainnya. Info lebih lanjut www.telkomsel.com,spam,spam,,ham,1.0,,
r05793,rehearsal,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",spam,spam,,ham,1.0,,
r05818,rehearsal,"Maaf, saya ketinggalan panggilan Anda, mari kita bicara saat Anda memiliki waktu. Saya di nomor 07090201529.",spam,spam,,ham,1.0,,
r06066,rehearsal,"Как так получается, что ребенок, боящийся темноты, так быстро превращается в подростка, который хочет пробыть на улице всю ночь?",spam,spam,,ham,1.0,,
r06572,rehearsal,Tutti intorno dovrebbero rispondere bene alla tua presenza poiché sei così caloroso e socievole. Stai portando un vero soffio di sole.,spam,spam,,ham,1.0,,
r06704,rehearsal,"Paket Flash 10 MB (1 hari) Rp.2500 telah diaktifkan, berlaku hingga tgl 07/08/2016 pk. 23:59 WIB. Paket akan diperpanjang secara otomatis pada akhir masa aktif dengan tarif sesuai dengan lokasi Anda. Untuk mengecek status atau berhenti berlangganan, hubungi *363#. Informasi detail tarif dapat dilihat di Tsel.me/internet.",spam,spam,,ham,1.0,,
r06763,rehearsal,"¡Gol! Arsenal 4 (Henry, 7) v Liverpool 2. Henry anota con un disparo sencillo desde 6 yardas tras un pase de Bergkamp para darle a Arsenal una ventaja de 2 goles después de 78 minutos.",spam,spam,,ham,1.0,,
r03722,rehearsal,.pl/7P9AklUQmFt,ham,ham,,remove,0.99,,
r04509,rehearsal,(رابطً قصيرًاhttps://goo.gl/783045),spam,spam,,remove,0.99,,
r05147,rehearsal,"As-tu entendu parler de la nouvelle ""Barbie Divorce""? Elle vient avec toutes les affaires de Ken!",spam,spam,,ham,0.99,,
r06262,rehearsal,RECPT 1/3. Anda telah memesan Ringtone. Pesanan Anda sedang diproses...,spam,spam,,ham,0.99,,
r06420,rehearsal,"Link yang Anda berikan tidak jelas, tolong spesifikasikan informasinya agar saya bisa membantu Anda dengan lebih baik. Terima kasih.",spam,spam,,ham,0.99,,
r07097,rehearsal,Verification: 123456,phishing,phishing,,ham,0.99,,
