id,pool,text,label
n00000,notice_pair_lure,Ninja Xpress: paket 670308609966 gagal dikirim karena alamat tidak lengkap. Konfirmasi di sini: ninjaxpress-portal-login.cc,phishing
n00001,notice_pair_legit,Ninja Xpress: paket 670308609966 gagal dikirim dan menunggu di gerai selama 7 hari.,ham
n00002,notice_pair_lure,"Banca Sella: per bloccare il bonifico appena fermato, rispondi con il codice 71072.",phishing
n00003,notice_pair_legit,Banca Sella: 71072 è il tuo codice di accesso. Non te lo chiederemo mai.,ham
n00004,notice_pair_lure,"Spotify: Ihr Abo verlängert sich heute für 1.99 €, wenn Sie nicht kündigen. Abbuchung stoppen: shorturl.at/9vubeq",phishing
n00005,notice_pair_legit,Spotify: Ihr Abo verlängert sich am 28. für 1.99 €. Verwalten Sie es in der App oder auf spotify.de.,ham
n00006,notice_pair_lure,"Совкомбанк: не удалось подтвердить ваши данные, интернет-банк заблокирован. Восстановите доступ за 24 часа: service-portal-login.cc",phishing
n00007,notice_pair_legit,Совкомбанк: в воскресенье с 02:00 до 05:00 интернет-банк будет недоступен из-за техработ.,ham
n00008,notice_pair_lure,Denizbank: 9394 ile biten kartınızdan yeni bir üye iş yerine 67 TL ödeme onaylandı. Buradan iptal edin: is.gd/9ceqmz,phishing
n00009,notice_pair_legit,Denizbank: 9394 ile biten kartınızdan 67 TL tutarında işlem yapıldı. Tanımıyorsanız kartınızın arkasındaki numarayı arayın.,ham
n00010,notice_pair_lure,سمسا: الطرد 0647390579 محتجز بسبب رسوم جمركية 19.99 ريال. ادفع للإفراج عنه: service-portal-login.cc,phishing
n00011,notice_pair_legit,سمسا: سيتم تسليم طردك 0647390579 اليوم بين الساعة 14:00 و18:00.,ham
n00012,notice_pair_lure,"Şekerbank: bilgileriniz doğrulanamadı, internet bankacılığınız askıya alındı. 24 saat içinde erişimi açın: cutt.ly/nevt2m",phishing
n00013,notice_pair_legit,Şekerbank: Pazar günü 02:00-05:00 arası internet bankacılığı bakımda olacaktır. İşlem yapmanıza gerek yok.,ham
n00014,notice_pair_lure,AnterAja: paket 872229213800 gagal dikirim karena alamat tidak lengkap. Konfirmasi di sini: anteraja-portal-login.cc,phishing
n00015,notice_pair_legit,AnterAja: paket 872229213800 gagal dikirim dan menunggu di gerai selama 7 hari.,ham
n00016,notice_pair_lure,GLS: pacco 537014082106 non consegnato per indirizzo incompleto. Confermalo qui: shorturl.at/tbh3t8,phishing
n00017,notice_pair_legit,GLS: pacco 537014082106 non consegnato. Resta 7 giorni presso il punto di ritiro.,ham
n00018,notice_pair_lure,"Боксберри: посылка 4180565833 задержана, таможенный сбор 2205 ₽ не оплачен. Оплатите для выдачи: service-id-confirm.site",phishing
n00019,notice_pair_legit,Боксберри: посылка 4180565833 будет доставлена сегодня с 14:00 до 18:00.,ham
n00020,notice_pair_lure,Iberdrola: Ihr Strom wird heute wegen einer offenen Rechnung über 2.45 € abgestellt. Jetzt begleichen: is.gd/wt5ukn,phishing
n00021,notice_pair_legit,Iberdrola: Ihre Stromrechnung über 2.45 € ist am 28. fällig. Zahlung in der App oder auf iberdrola.de.,ham
n00022,notice_pair_lure,"BPER: per bloccare il bonifico appena fermato, rispondi con il codice 565884.",phishing
n00023,notice_pair_legit,BPER: 565884 è il tuo codice di accesso. Non te lo chiederemo mai.,ham
n00024,notice_pair_lure,EDF: your electricity will be cut off today over an unpaid bill of £1.99. Settle now: edf-portal-login.cc,phishing
n00025,notice_pair_legit,EDF: your electricity bill of £1.99 is due on the 28th. Pay in the app or at edf.com.,ham
n00026,notice_pair_lure,"Banque Populaire : pour annuler le virement que nous avons bloqué, répondez avec le code 570666.",phishing
n00027,notice_pair_legit,Banque Populaire : 570666 est votre code de connexion. Nous ne vous le demanderons jamais.,ham
n00028,notice_pair_lure,EDF: 83 TL tutarındaki ödenmemiş fatura nedeniyle elektriğiniz bugün kesilecek. Şimdi ödeyin: cutt.ly/5frzpg,phishing
n00029,notice_pair_legit,EDF: 83 TL tutarındaki elektrik faturanızın son ödeme günü ayın 28'i. Uygulamadan ödeyebilirsiniz.,ham
n00030,notice_pair_lure,MRW: el paquete 829778488677 está retenido por una tasa aduanera de 24.5€. Pague para liberarlo: t.ly/mxutp9,phishing
n00031,notice_pair_legit,MRW: su paquete 829778488677 sale hoy a reparto entre las 14:00 y las 18:00.,ham
n00032,notice_pair_lure,"Bankinter: para detener la transferencia que hemos bloqueado, responda con el código 546967 que le enviamos.",phishing
n00033,notice_pair_legit,Bankinter: 546967 es su código de acceso. Nunca le pediremos que lo comparta.,ham
n00034,notice_pair_lure,Hermes: Paket 553265272020 konnte wegen unvollständiger Adresse nicht zugestellt werden. Hier bestätigen: hermes-billing-update.online,phishing
n00035,notice_pair_legit,Hermes: Paket 553265272020 konnte nicht zugestellt werden und liegt 7 Tage in Ihrer Filiale bereit.,ham
n00036,notice_pair_lure,DPD: pakket 9861642051 is niet bezorgd omdat het adres onvolledig is. Bevestig het hier: dpd-customer-verify.live,phishing
n00037,notice_pair_legit,DPD: pakket 9861642051 is niet bezorgd en ligt 7 dagen klaar in het depot.,ham
n00038,notice_pair_lure,"GLS : le colis 267612295616 est bloqué, frais de douane de 12.4 € impayés. Payez pour le libérer : rb.gy/wnrgm2",phishing
n00039,notice_pair_legit,GLS : votre colis 267612295616 sera livré aujourd'hui entre 14h00 et 18h00.,ham
n00040,notice_pair_lure,Abanca: se aprobó un pago de 24.5€ a un comercio nuevo con la tarjeta terminada en 5228. Cancélelo aquí: abanca-verify-now.top,phishing
n00041,notice_pair_legit,"Abanca: cargo de 24.5€ en su tarjeta terminada en 5228. Si no lo reconoce, llame al número del reverso.",ham
n00042,notice_pair_lure,Audible : votre abonnement se renouvelle aujourd'hui pour 9.9 € sauf annulation. Arrêtez le prélèvement : audible-portal-login.cc,phishing
n00043,notice_pair_legit,Audible : votre abonnement se renouvelle le 28 pour 9.9 €. Gérez-le dans l'application ou sur audible.fr.,ham
n00044,notice_pair_lure,أرامكس: الطرد 820120845353 محتجز بسبب رسوم جمركية 2.45 ريال. ادفع للإفراج عنه: service-portal-login.cc,phishing
n00045,notice_pair_legit,أرامكس: سيتم تسليم طردك 820120845353 اليوم بين الساعة 14:00 و18:00.,ham
n00046,notice_pair_lure,E.ON: سيتم قطع الكهرباء اليوم بسبب فاتورة غير مدفوعة بقيمة 19.99 ريال. سدد الآن: rb.gy/9nfgqk,phishing
n00047,notice_pair_legit,E.ON: فاتورة الكهرباء بقيمة 19.99 ريال تستحق في الـ28. ادفع عبر التطبيق أو eon.com.,ham
n00048,notice_pair_lure,"OCBC NISP: data Anda tidak dapat diverifikasi, internet banking diblokir. Pulihkan akses dalam 24 jam: ocbcnisp-id-confirm.site",phishing
