text,label,category,language
Grab: your account is now protected with a passkey. You can sign in without a password on this device. Msg&data rates may apply.,ham,account_security,en
Grab Notice: your account will be deactivated in 24 hours due to a policy violation. Appeal here: grab80.cf,phishing,account_security_twin,en
Tokopedia: pesanan 891621 telah dikirim. Cek status di aplikasi.,ham,i18n_notice,id
Tokopedia: pembayaran pesanan 7790-31638 gagal. Perbarui kartu dalam 12 jam: http://tokopedia.secure-center.org/refund,phishing,i18n_notice_twin,id
Your food order from Pizza Express is on its way with Sofía. ETA 35 min.,ham,reservation_community,en
"Strava Alert: A new device signed in to your account from Manchester. If this wasn't you, change your password in Account settings. Ref 8006375233.",ham,subscription_notice,en
Strava: we detected an unusual login. Confirm your password here or legal action will follow: http://strava96.co/confirm,phishing,subscription_notice_twin,en
Spotify| Welcome back! Your Spotify membership is active again. Enjoy.,ham,subscription_notice,en
Spotify Your payment failed and your account is suspended. Update your card to restore access: spotify-rome.ws/claim,phishing,subscription_notice_twin,en
Amazon Logistics: Your package from Argos (9117463036) has shipped via Amazon Logistics. Expected the 28th.,ham,delivery_notice,en
"Scotiabank Notice: fraud alert: was this you? A$129.90 at DECATHLON, card *4015. Reply Y or N.",ham,bank_fraud_check,en
Claro: sua fatura de R$1.99 vence em Mon 22 Sep. Pague pelo app ou em tim.com.br.,ham,i18n_notice,pt
Vivo: fatura em atraso. Evite o bloqueio da linha pagando aqui: http://vivo-us.ws/confirm,phishing,i18n_notice_twin,pt
"Sparkasse - your card payment due date is Thursday. Minimum due $3,000.00. Pay at our app.",ham,insurance_loan,en
تذكير: موعدك مع Dr. García يوم Oct 3 الساعة noon. أرسل نعم للتأكيد.,ham,i18n_notice,ar
DEWA Alert: Your monthly payment is changing to A$249.00 from the 5th based on your usage. Details at dewa.gov.ae.,ham,utility_bill,en
"Bank of America: your login code is 928189. If you didn't try to log in, change your password.",ham,otp_code,en
Bank of America: we sent you a code by mistake. Please reply with the code 928189 to cancel the transaction.,phishing,otp_code_twin,en
Hatırlatma: Dr. Nguyen ile randevunuz Tuesday saat 8am. Onaylamak için EVET yazın.,ham,i18n_notice,tr
[Microsoft 365] Your subscription has been cancelled as requested. You'll have access until Sep 30.,ham,subscription_notice,en
"UniCredit: addebito di 89,99€ sulla carta ••2927 presso Starbucks. Se non lo riconosci, chiama il numero sul retro della carta.",ham,i18n_notice,it
"Hulu: Your plan renews on the 28th for 184,20€. No action needed. Ref RY888867406.",ham,subscription_notice,en
Belastingdienst: uw aangifte is ontvangen. U hoeft niets te doen.,ham,i18n_notice,nl
PNC: Your loan payment of $18.50 was received on 10/15. Thank you. Msg ID KV306856741.,ham,bank_account_service,en
"mBank - Your premium of 612,40 € was received. Your policy 2888001709 is active until Wednesday.",ham,insurance_loan,en
كريم: الكابتن محمد في الطريق إليك بسيارة كامري بيضاء ويصل خلال 2 دقائق.,ham,i18n_notice,ar
"1&1: Ihre Rechnung über 9,99 € ist online verfügbar. Abbuchung am Sep 28.",ham,i18n_notice,de
"Telekom: Ihre Rechnung ist überfällig. Zahlen Sie innerhalb von 24 Std., sonst wird Ihr Anschluss gesperrt: telekom.login-service.net/reactivate",phishing,i18n_notice_twin,de
Яндекс Go: водитель Алексей на серой Skoda Octavia подъедет через 6 мин.,ham,i18n_notice,ru
أبشر: تم تجديد رخصة القيادة بنجاح. رقم الطلب #988-7541428-9455781.,ham,i18n_notice,ar
"أبشر: لديك مخالفة غير مدفوعة بقيمة AED 2,150.00. ادفع اليوم لتجنب الحجز: https://s.id/y96423",phishing,i18n_notice_twin,ar
"Cosmote: ο λογαριασμός σας 230,00€ είναι διαθέσιμος στο My Vodafone. Λήξη Tuesday.",ham,i18n_notice,el
Colissimo : votre colis A67848 sera livré aujourd'hui entre 08:00 et 09:00. Suivi sur laposte.fr.,ham,i18n_notice,fr
"Colissimo : votre colis est en attente, frais de douane de 4,20 € à régler : https://t.co/e98374",phishing,i18n_notice_twin,fr
"Plus: faktura na 312,45 zł jest dostępna. Termin płatności Oct 1.",ham,i18n_notice,pl
"Mandiri: transaksi Rp18.000.000 di Chevron pada kartu *7070 berhasil. Jika bukan Anda, hubungi nomor di belakang kartu.",ham,i18n_notice,id
Reminder: your appointment with Dr. Sharma at Apollo Hospital is on Fri 26 Sep at 9am. Reply YES to confirm.,ham,i18n_notice,hi
Bizum: C$23.15 has been added to your balance from Arjun.,ham,p2p_payment,en
Bank of America – Your mortgage payment of A$199.00 is scheduled for Mon 22 Sep. Make sure funds are available. Manage alerts in the app.,ham,bank_account_service,en
Absher Alert: Reminder: your passport expires on Tuesday. Renew at the Absher app.,ham,government_notice,en
Zurich your ID card is ready. Download it from the app or zurich.com. This is an automated message.,ham,insurance_loan,en
"Zurich: You are pre-approved for a £2,399.00 loan. Confirm your date of birth and card details to receive it today: http://zurich-in.co/pay",phishing,insurance_loan_twin,en
Votre code de connexion La Poste est 88883929. Il expire dans 10 minutes.,ham,i18n_notice,fr
Eneco Notice: We received your payment of C$312.45. Thank you.,ham,utility_bill,en
"From Bol.com: Good news, a birthday gift is back in stock. Your backorder CM763467343 will ship Tue 23 Sep.",ham,order_notice,en
Colissimo: Delivered: your package #690-9971606-6085550 was left in the mailbox. Photo in the app.,ham,delivery_notice,en
Pengingat: janji temu dengan Dr. Dubois pada Tuesday pukul 5pm. Balas YA untuk konfirmasi.,ham,i18n_notice,id
"Przypomnienie: wizyta u Dr. Patel Friday o 7:30pm. Odpowiedz TAK, aby potwierdzić.",ham,i18n_notice,pl
"BRADESCO: your password was changed on Sep 28 at 3pm. If you didn't do this, call the number on the back of your card.",ham,bank_account_service,en
Reminder: your appointment with Dr. Patel at Apollo Hospital is on Oct 10 at 20:00. Reply YES to confirm.,ham,i18n_notice,hi
"Sberbank - Your overdraft limit was changed to $3,000.00 as requested on Oct 1. Manage alerts in the app.",ham,bank_account_service,en
(Sberbank) Your new card is ready but we need you to confirm your card number and PIN before it can be activated: http://sberbank24.digital/claim Manage alerts in the app.,phishing,bank_account_service_twin,en
"Piraeus Bank: fraud alert: was this you? $12.40 at LIDL, card ending in 7750. Reply Y or N.",ham,bank_fraud_check,en
Library: your reserved book is ready for pickup. Hold expires Tue 23 Sep.,ham,reservation_community,en
UniCredit – your credit score updated: 783. See what changed at unicredit.it.,ham,insurance_loan,en
YouTube Premium Notice: Welcome back! Your YouTube Premium membership is active again. Enjoy.,ham,subscription_notice,en
"Hotstar Alert: Your annual plan will renew on Thursday at A$312.45. To change or cancel, visit www.hotstar.com/statements.",ham,subscription_notice,en
Hotstar| your payment failed and your account is suspended. Update your card to restore access: hotstar55.help/secure,phishing,subscription_notice_twin,en
Garanti BBVA: Security check: a login to your online banking from a new device in Lagos. Reply YES if this was you.,ham,bank_fraud_check,en
OpenTable: your reservation at Dishoom for 4 on Sunday at 2:45pm is confirmed.,ham,reservation_community,en
"Santander: transakcja 9,99 zł kartą ••6894 w H&M. Jeśli to nie Ty, zadzwoń pod numer z odwrotu karty.",ham,i18n_notice,pl
Delhivery – Your parcel 98908086 will be delivered Oct 10. No action needed.,ham,delivery_notice,en
Poste Italiane: la tua spedizione 384961 è in consegna oggi. Traccia su poste.it.,ham,i18n_notice,it
"Poste Italiane: pacco in giacenza, spese doganali di 612,40 € da pagare: p0ste.net",phishing,i18n_notice_twin,it
Airtel Notice: A payment of $118.60 was received. Your account balance is now C$72.18 in credit.,ham,telco_bill,en
Airtel: Your number will be deactivated today. Confirm your date of birth and card details: https://airtel.billing-online.live/login Questions? Call the number on the back of your card.,phishing,telco_bill_twin,en
UIDAI – A document is waiting in your secure inbox. Sign in at the app to read it. Ref J79203.,ham,government_notice,en
[Cdiscount] your order 8964615433 has been confirmed. Total £249.00. You'll get another text when it ships.,ham,order_notice,en
(Cdiscount) Your order of 3 items is on hold. Update your billing address to release it: http://cdiscount68.ru/refund,phishing,order_notice_twin,en
ΕΛΤΑ Courier: το δέμα σας 60725996 παραδίδεται σήμερα. Παρακολούθηση στο elta-courier.gr,ham,i18n_notice,el
Truist| Your policy documents have been updated. No action needed.,ham,insurance_loan,en
PIX recebido: R$89.99 de Emma. Já está na sua conta.,ham,i18n_notice,pt
"Uber : votre chauffeur Pierre arrive dans 6 min en Tesla blanche, plaque EE-939-KL.",ham,i18n_notice,fr
DHL: Ihr Paket #808-2902991-3736393 wird heute zwischen 1pm und 1pm Uhr zugestellt. Sendungsverfolgung unter dhl.de.,ham,i18n_notice,de
Госуслуги: ваше заявление №83019 принято. Статус можно посмотреть в личном кабинете на gosuslugi.ru.,ham,i18n_notice,ru
"Госуслуги: вам положена выплата 49,99 ₽. Получите её здесь: my-gosuslugi.digital/id",phishing,i18n_notice_twin,ru
Cash App: Natasha requested $118.60 for dinner. Open the app to pay or decline.,ham,p2p_payment,en
Telus Notice: Your bill of C$45.00 is due on tomorrow. Pay at https://www.telus.com/pay or dial 150 from your phone.,ham,telco_bill,en
Ο κωδικός επαλήθευσης Skroutz είναι 84043896. Μην τον μοιραστείτε.,ham,i18n_notice,el
Google Pay - S. Müller requested $72.18 for dinner. Open the app to pay or decline.,ham,p2p_payment,en
Trendyol doğrulama kodunuz: 818864. Kimseyle paylaşmayın.,ham,i18n_notice,tr
Amazon: Ihre Bestellung #913-7582259-9651680 wurde versandt und kommt morgen an. Sendung verfolgen auf amazon.de.,ham,i18n_notice,de
"Trenitalia: il tuo Frecciarossa 9601 parte alle 7:30pm dal binario 10. Carrozza 7, posto 76A.",ham,i18n_notice,it
Agenzia Entrate: la tua dichiarazione è stata ricevuta. Nessuna azione richiesta.,ham,i18n_notice,it
Nubank: compra de R$230.00 aprovada no cartão final 9389 em Mcdonalds. Não reconhece? Ligue para o número no verso do cartão.,ham,i18n_notice,pt
"PKO BP: your card XX5551 was used at MARRIOTT in Warsaw for £612.40. If this wasn't you, freeze your card in the PKO BP app. Ref 3156-31673.",ham,bank_card_txn,en
"[Alpha Bank] your available balance on account XX8678 is 23,15€ as of 9:30am. Manage alerts in alpha.gr.",ham,bank_card_txn,en
Alpha Bank: Unusual activity on card ending in 1982. Update your payment information at online-alphabank.shop/confirm or your payment will be reversed.,phishing,bank_card_txn_twin,en
"[VK] Your password was changed on tomorrow. If you didn't do this, go to https://www.vk.com/pay to secure your account.",ham,account_security,en
"British Gas Alert: a power cut is affecting Singapore. Engineers are on site, estimated restoration 1pm.",ham,utility_bill,en
Garanti BBVA: Please confirm: A$3.50 at EXXON on Sunday 08:00. Reply YES to approve or NO to decline. Msg&data rates may apply.,ham,bank_fraud_check,en
Correos: su envío G99106 será entregado mañana entre las 8am y las 14:00. No es necesario hacer nada.,ham,i18n_notice,es
Instagram - Two-step verification is now on for your account. You'll be asked for a code when you sign in on a new device. This is an automated message.,ham,account_security,en
CVS Pharmacy: it's time for your annual check-up. Book online at your online account or call the surgery.,ham,appointment,en
Correos Alert: Your package is out for delivery today. Track it at online banking.,ham,delivery_notice,en
Boots: your appointment with Dr. Silva is confirmed for Oct 10 at 14:00. Please arrive 10 minutes early.,ham,appointment,en
Your food order from Wagamama is on its way with Mei. ETA 35 min.,ham,reservation_community,en
Amazon Prime: We couldn't process your payment. Please update your payment method in the Amazon Prime app to keep your plan. Thank you.,ham,subscription_notice,en
Barclays: C$89.99 was deposited into your checking account ending with 1186. Available balance C$230.00.,ham,bank_card_txn,en
"Barclays Alert: A payment of C$89.99 to ESSO was approved on card ••8147. If this was not you, cancel it now: https://go-barclays.link/update",phishing,bank_card_txn_twin,en
