id,source,text,label
s00000,synthetic,Il tuo codice di verifica Uber è 0540. Non condividerlo con nessuno.,ham
s00001,synthetic,Ваш код подтверждения Сбербанк: 3105. Никому не сообщайте его.,ham
s00002,synthetic,"JNE: Paket Anda 186039806122 telah dikirim, tiba besok.",ham
s00003,synthetic,"ゆうちょ銀行: Your card was used for ¥4,990 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00004,synthetic,Your electricity bill of 14 500 ₽ is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00005,synthetic,Your electricity bill of Rp 1.482.000 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00006,synthetic,"BNP Paribas: Votre carte a été utilisée pour 499,99 €. Répondez OUI si c'est vous, NON sinon.",ham
s00007,synthetic,UPS: Out for delivery today. Your driver is Marcus in a grey van.,ham
s00008,synthetic,PostNL: Je pakket 6383536043 is vandaag bezorgd.,ham
s00009,synthetic,SEUR: Su paquete 899812294432 fue entregado hoy a las 14:14.,ham
s00010,synthetic,СДЭК: Ваша посылка 5532459133 доставлена сегодня.,ham
s00011,synthetic,PTT Kargo: Kargonuz 6468628555 bugün teslim edildi.,ham
s00012,synthetic,BRT: Il tuo pacco 040527651621 è stato consegnato oggi.,ham
s00013,synthetic,三井住友銀行の確認コードは868319です。誰にも教えないでください。,ham
s00014,synthetic,СДЭК: Ваша посылка 597834938352 доставлена сегодня.,ham
s00015,synthetic,"Your electricity bill of ¥1,980 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00016,synthetic,G-4335 is your Google verification code.,ham
s00017,synthetic,Il tuo codice di verifica WhatsApp è 8793. Non condividerlo con nessuno.,ham
s00018,synthetic,Your electricity bill of £278.44 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00019,synthetic,"三菱UFJ銀行: A new device signed in to your account. If this was you, no action needed.",ham
s00020,synthetic,رمز التحقق الخاص بـ Amazon هو 2647. لا تشاركه مع أي شخص.,ham
s00021,synthetic,"Your electricity bill of € 12,90 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
s00022,synthetic,Il tuo codice di verifica Google è 243077. Non condividerlo con nessuno.,ham
s00023,synthetic,【日本郵便】お荷物4915194763を本日お届けしました。,ham
s00024,synthetic,"Wells Fargo: Your card was used for £1.10 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00025,synthetic,Tu código de verificación de Netflix es 3057. No lo compartas con nadie.,ham
s00026,synthetic,"Su factura de luz de 1,99 € vence el 21 de junio. Pague en la app para evitar recargos.",ham
s00027,synthetic,Votre code de vérification Uber est 698060. Ne le partagez avec personne.,ham
s00028,synthetic,"Paytm: Aapke card se ₹1,482 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
s00029,synthetic,"Deutsche Bank: Ihre Karte wurde für 499,99 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
s00030,synthetic,"Sua conta de luz de R$ 49,90 vence em 21/06. Pague no aplicativo.",ham
s00031,synthetic,Kode verifikasi Microsoft Anda adalah 143143. Jangan berikan kepada siapa pun.,ham
s00032,synthetic,Your electricity bill of 499 TL is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00033,synthetic,Poste Italiane: Il tuo pacco 5131961309 è stato consegnato oggi.,ham
s00034,synthetic,קוד האימות שלך ל-Microsoft הוא 030873. אל תשתף אותו עם אף אחד.,ham
s00035,synthetic,Reminder: Your dental appointment with Dr. Patel is tomorrow at 9:30 AM. Reply C to confirm or R to reschedule.,ham
s00036,synthetic,"Garanti BBVA: Your card was used for 1.482 TL at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00037,synthetic,"Ihre Stromrechnung über 184,50 € ist am 21. Juni fällig. Zahlen Sie in der App.",ham
s00038,synthetic,"Ciao, ci vediamo domani alle 15 per un caffè? Portami quel libro se puoi",ham
s00039,synthetic,Your electricity bill of ¥9.90 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
s00040,synthetic,رمز التحقق الخاص بـ WhatsApp هو 4591. لا تشاركه مع أي شخص.,ham
s00041,synthetic,"Hoi, zien we elkaar morgen om 15 uur voor koffie? Neem dat boek mee",ham
s00042,synthetic,"BBVA: Se usó su tarjeta por 1,99 € en un comercio. Responda SÍ si fue usted, NO si no.",ham
s00043,synthetic,Je Uber verificatiecode is 459131. Deel deze met niemand.,ham
s00044,synthetic,【佐川急便】お荷物161726567090を本日お届けしました。,ham
s00045,synthetic,Aapka Uber verification code hai 8568. Kisi ke saath share na karein.,ham
s00046,synthetic,Poste Italiane: Il tuo pacco 873933443819 è stato consegnato oggi.,ham
s00047,synthetic,【中国邮政】您的包裹369085753990已于今日送达。,ham
s00048,synthetic,Je ING verificatiecode is 6457. Deel deze met niemand.,ham
s00049,synthetic,Correos: Su paquete 2607992631 fue entregado hoy a las 14:14.,ham
s00050,synthetic,"みずほ銀行: Your card was used for ¥14,800 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00051,synthetic,Amazon doğrulama kodunuz 716540. Kimseyle paylaşmayın.,ham
s00052,synthetic,"Nubank: Seu cartão foi usado em R$ 1.482,00. Responda SIM se foi você, NÃO caso contrário.",ham
s00053,synthetic,Votre code de vérification Google est 0693. Ne le partagez avec personne.,ham
s00054,synthetic,DPD: Ihr Paket 992175196526 wurde heute zugestellt.,ham
s00055,synthetic,"Deutsche Bank: Ihre Karte wurde für 184,50 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
s00056,synthetic,"LCL: Votre carte a été utilisée pour 1,99 €. Répondez OUI si c'est vous, NON sinon.",ham
s00057,synthetic,您的WhatsApp验证码是579260，请勿告诉他人。,ham
s00058,synthetic,DPD: Ваша посылка 306455642024 доставлена сегодня.,ham
s00059,synthetic,Votre code de vérification Microsoft est 684258. Ne le partagez avec personne.,ham
s00060,synthetic,"بنك الرياض: Your card was used for 500 ريال at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00061,synthetic,"ICICI: Aapke card se ₹99 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
s00062,synthetic,Aapka Google verification code hai 0996. Kisi ke saath share na karein.,ham
s00063,synthetic,"建设银行: Your card was used for ¥49.90 at WALMART #2891. Reply YES if this was you, NO if not.",ham
s00064,synthetic,"J&T: Paket Anda 2973060478 telah dikirim, tiba besok.",ham
s00065,synthetic,Kode verifikasi Microsoft Anda adalah 4764. Jangan berikan kepada siapa pun.,ham
