text,label,augmentation_type,original_text,language,translation_method
עברית: Es imposible discutir con él y siempre me trata co...,ham,,"Es imposible discutir con él y siempre me trata como su sumiso, como si nunca me hubiera liberado ... Lo cual hizo y se lo recordaré si es necesario",hebrew,google_translate_placeholder
עברית: ¡HAS GANADO! Tus vacaciones de 4* en Costa Del Sol...,spam,,"¡HAS GANADO! Tus vacaciones de 4* en Costa Del Sol o £5000 te esperan para ser recogidos. Llama al 09050090044 ahora para reclamar. SAE, TC s, POBox334, Stockport, SK38xh, Coste £1.50/msg, Máx10min.",hebrew,google_translate_placeholder
עברית: Bitte stellen Sie heute noch eine Verbindung her v...,ham,,Bitte stellen Sie heute noch eine Verbindung her vor <DECIMAL> oder erstatten Sie die Rechnung.,hebrew,google_translate_placeholder
עברית: Kirim Uang Sekarang http://bit.ly/2376...,phishing,,Kirim Uang Sekarang http://bit.ly/2376,hebrew,google_translate_placeholder
עברית: Paquet retenu dans le terminal : http://ffnst.com/...,phishing,,Paquet retenu dans le terminal : http://ffnst.com/7DH773,hebrew,google_translate_placeholder
עברית: 🎉 CONGRATS! You won $1267 Amazon gift card! Redeem...,spam,,🎉 CONGRATS! You won $1267 Amazon gift card! Redeem at tinyurl.com/abc 🎉,hebrew,google_translate_placeholder
עברית: WhatsApp: New security code: 3384. Don't share it....,phishing,,WhatsApp: New security code: 3384. Don't share it.,hebrew,google_translate_placeholder
"עברית: Ich nehme an, wir hatten den Anruf am Freitag nich...",ham,,"Ich nehme an, wir hatten den Anruf am Freitag nicht. Können wir davon ausgehen, dass wir ihn jetzt in diesem Jahr nicht mehr haben werden?",hebrew,google_translate_placeholder
עברית: Hows the pain dear?y r u smiling?...,ham,,Hows the pain dear?y r u smiling?,hebrew,google_translate_placeholder
עברית: Prize winner! Claim your $569 gift card at tinyurl...,phishing,,Prize winner! Claim your $569 gift card at tinyurl.com/abc,hebrew,google_translate_placeholder
עברית: Transfernya ke BRI aja A/n ANGGA PRASTIA No Rek 11...,spam,,Transfernya ke BRI aja A/n ANGGA PRASTIA No Rek 1172-01-002218-502,hebrew,google_translate_placeholder
עברית: Colis retenu au terminal : http://ffnst.com/7DH101...,phishing,,Colis retenu au terminal : http://ffnst.com/7DH1014,hebrew,google_translate_placeholder
עברית: Wells Fargo Bank: Il tuo account è temporaneamente...,phishing,,Wells Fargo Bank: Il tuo account è temporaneamente bloccato. Accedi su http://goo.gl/2a234 per proteggere il tuo account.,hebrew,google_translate_placeholder
עברית: 🎉 CONGRATS! You won $2260 Amazon gift card! Redeem...,spam,,🎉 CONGRATS! You won $2260 Amazon gift card! Redeem at goo.gl/xyz 🎉,hebrew,google_translate_placeholder
עברית: Bank of America: Suspicious charge of $3570. Revie...,phishing,,Bank of America: Suspicious charge of $3570. Review at bit.ly/123,hebrew,google_translate_placeholder
עברית: Prize winner! Claim your $3096 gift card at tinyur...,phishing,,Prize winner! Claim your $3096 gift card at tinyurl.com/abc,hebrew,google_translate_placeholder
עברית: Call 9092 for customer support...,ham,,Call 9092 for customer support,hebrew,google_translate_placeholder
עברית: Your tax refund of $1995 is ready. Claim at tinyur...,phishing,,Your tax refund of $1995 is ready. Claim at tinyurl.com/abc,hebrew,google_translate_placeholder
עברית: Job offer: Earn $4662/month. Apply at goo.gl/xyz...,phishing,,Job offer: Earn $4662/month. Apply at goo.gl/xyz,hebrew,google_translate_placeholder
עברית: Paket im Terminal festgehalten: http://ffnst.com/7...,phishing,,Paket im Terminal festgehalten: http://ffnst.com/7DH1057,hebrew,google_translate_placeholder
עברית: Send Money Now http//bit.ly/1321...,phishing,,Send Money Now http//bit.ly/1321,hebrew,google_translate_placeholder
עברית: ЧЕРНАЯ ИНТЕРНЕТ-МАГАЗИН BIG SAL 50% BB Z10 Rp. 4 м...,spam,,"ЧЕРНАЯ ИНТЕРНЕТ-МАГАЗИН BIG SAL 50% BB Z10 Rp. 4 млн ДАКОТА Rp.2,8 млн Самсунг ноут II Rp. 3 млн Iphone 5 16GB Rp. 3 млн Ноутбук, камера и др. Интересуетесь? Приглашаем вас на BBM PIN: 25A4FF8C",hebrew,google_translate_placeholder
עברית: Bank of America: Suspicious charge of $2034. Revie...,phishing,,Bank of America: Suspicious charge of $2034. Review at bit.ly/123,hebrew,google_translate_placeholder
עברית: Sende jetzt Geld http//bit.ly/2865...,phishing,,Sende jetzt Geld http//bit.ly/2865,hebrew,google_translate_placeholder
עברית: У вас есть мобильный телефон 11 месяцев или более?...,spam,,У вас есть мобильный телефон 11 месяцев или более? Вы имеете право на обновление до последних цветных мобильных телефонов с камерой бесплатно! Позвоните в The Mobile Update Co бесплатно по номеру 08002986030.,hebrew,google_translate_placeholder
"עברית: C'è chi si sposa giovane ma sembra felice, ma cred...",ham,,"C'è chi si sposa giovane ma sembra felice, ma credo di essere una su un milione se guardo ai miei amici hmm.",hebrew,google_translate_placeholder
"עברית: Hey, sie schauen heute Abend keinen Film, also wer...",ham,,"Hey, sie schauen heute Abend keinen Film, also werde ich wahrscheinlich früh zu Hause sein...",hebrew,google_translate_placeholder
עברית: URGENT: Your prize is waiting! Call 5977...,spam,,URGENT: Your prize is waiting! Call 5977,hebrew,google_translate_placeholder
"עברית: Hervorragender Gedanke: ""Sei dankbar, dass du nich...",ham,,"Hervorragender Gedanke: ""Sei dankbar, dass du nicht alles hast, was du willst. Das bedeutet, dass du morgen glücklicher sein kannst als heute. :-)""",hebrew,google_translate_placeholder
עברית: WIN 4916 NOW! Click bit.ly/123 to claim!...,spam,,WIN 4916 NOW! Click bit.ly/123 to claim!,hebrew,google_translate_placeholder
"עברית: Oops, ich glaube, ich habe nicht genug… Ich werde ...",ham,,"Oops, ich glaube, ich habe nicht genug… Ich werde nachsehen und dir dann Bescheid geben.",hebrew,google_translate_placeholder
עברית: Ich bat Sen nach Chennai zu kommen und nach einer ...,ham,,Ich bat Sen nach Chennai zu kommen und nach einer Arbeitsstelle zu suchen.,hebrew,google_translate_placeholder
עברית: Wichtig: Ihr Apple ID wurde aus Sicherheitsgründen...,phishing,,Wichtig: Ihr Apple ID wurde aus Sicherheitsgründen gesperrt. Bestätigen Sie Ihre Daten unter http://secure-appleid-unlock.com.,hebrew,google_translate_placeholder
עברית: Sie müssen dem IRS JETZT Geld senden unter https:/...,spam,,Sie müssen dem IRS JETZT Geld senden unter https://tinyurl.com/8906,hebrew,google_translate_placeholder
"עברית: Hallo, Mitra! Bitte überprüfen Sie Ihre Punkte und...",spam,,"Hallo, Mitra! Bitte überprüfen Sie Ihre Punkte und tauschen Sie diese gegen Gutschriften bei unserem Administrator ein. Senden Sie Ihr Anfrageformat PO.PIN an +62xxxxxxxxxx.",hebrew,google_translate_placeholder
עברית: (aytd2773838383 https://goo.gl/783175...,spam,,(aytd2773838383 https://goo.gl/783175,hebrew,google_translate_placeholder
עברית: ¿A qué hora termino?...,ham,,¿A qué hora termino?,hebrew,google_translate_placeholder
עברית: Your entry won! Claim $2004 cash prize at bit.ly/1...,spam,,Your entry won! Claim $2004 cash prize at bit.ly/123,hebrew,google_translate_placeholder
עברית: Jaja sí. Nuestra amistad está en un hilo porque no...,ham,,Jaja sí. Nuestra amistad está en un hilo porque no quieres comprar cosas.,hebrew,google_translate_placeholder
"עברית: Je vais partir dans quelques minutes, on se voit l...",ham,,"Je vais partir dans quelques minutes, on se voit là-bas",hebrew,google_translate_placeholder
עברית: Enviar dinero ahora http//bit.ly/2067...,phishing,,Enviar dinero ahora http//bit.ly/2067,hebrew,google_translate_placeholder
עברית: Vous devez envoyer de l'argent à l'IRS MAINTENANT ...,spam,,Vous devez envoyer de l'argent à l'IRS MAINTENANT sur https://tinyurl.com/8856,hebrew,google_translate_placeholder
עברית: Customer service annoncement. You have a New Years...,spam,,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,hebrew,google_translate_placeholder
עברית: Debt relief program: Get out of debt fast! Call 17...,spam,,Debt relief program: Get out of debt fast! Call 1761,hebrew,google_translate_placeholder
"עברית: Halo, saldo akun Voicespin Test_Keylock_05 Anda sa...",ham,,"Halo, saldo akun Voicespin Test_Keylock_05 Anda saat ini sebesar 9.25. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akun akan diblokir secara otomatis.",hebrew,google_translate_placeholder
עברית: Sende jetzt Geld http//bit.ly/1326...,phishing,,Sende jetzt Geld http//bit.ly/1326,hebrew,google_translate_placeholder
עברית: Kirim Uang Sekarang http//bit.ly/2389...,phishing,,Kirim Uang Sekarang http//bit.ly/2389,hebrew,google_translate_placeholder
עברית: Earn $1112 per week working from home!...,spam,,Earn $1112 per week working from home!,hebrew,google_translate_placeholder
עברית: Work from home: Earn $2541/hour! Start today: bit....,spam,,Work from home: Earn $2541/hour! Start today: bit.ly/123,hebrew,google_translate_placeholder
עברית: Urgent! Your acount has been hacked. Click hear to...,phishing,,Urgent! Your acount has been hacked. Click hear to fix: http://bank-fix.com,hebrew,google_translate_placeholder
עברית: Your order #9427 has been shipped....,ham,,Your order #9427 has been shipped.,hebrew,google_translate_placeholder
"עברית: Yo, ich bin bei meinen Eltern und hole etwas Barge...",ham,,"Yo, ich bin bei meinen Eltern und hole etwas Bargeld. Gute Nachricht: Wir haben einen Downstem abgeholt.",hebrew,google_translate_placeholder
"עברית: También te amo, pero intenta administrar mejor tu ...",ham,,"También te amo, pero intenta administrar mejor tu dinero, cariño. Gary se enfadaría conmigo si supiera.",hebrew,google_translate_placeholder
עברית: Carlos sedang meluangkan waktu dengan santai seper...,ham,,"Carlos sedang meluangkan waktu dengan santai seperti biasa, jadi beri tahu saya ketika kamu dan Patty selesai/ingin merokok, dan saya akan memberitahunya untuk buru-buru.",hebrew,google_translate_placeholder
"עברית: Per favore, segnalami qualsiasi errore da parte mi...",ham,,"Per favore, segnalami qualsiasi errore da parte mia. Scusami. Per favore, vai dal dottore.",hebrew,google_translate_placeholder
עברית: Obtén un potenciador de datos móviles gratis con c...,phishing,,Obtén un potenciador de datos móviles gratis con cada nuevo plan de teléfono en MobileNet. Llámanos al 800-555-0199 o visita www.mobilenet.com/32,hebrew,google_translate_placeholder
עברית: Tienes un admirador secreto que está buscando cont...,spam,,Tienes un admirador secreto que está buscando contactarte-descubre quién es* revela quien piensa que eres tan especial-llama al 09058094599,hebrew,google_translate_placeholder
עברית: I think its far more than that but find out. Check...,ham,,I think its far more than that but find out. Check google maps for a place from your dorm.,hebrew,google_translate_placeholder
"עברית: Nein Mann, mein Auto ist dafür gedacht, randvoll m...",ham,,"Nein Mann, mein Auto ist dafür gedacht, randvoll mit Leuten zu sein.",hebrew,google_translate_placeholder
עברית: Bank of America: Suspicious charge of $1688. Revie...,phishing,,Bank of America: Suspicious charge of $1688. Review at bit.ly/123,hebrew,google_translate_placeholder
עברית: Text BANNEDUK au 89555 pour voir! coût 150p textop...,spam,,Text BANNEDUK au 89555 pour voir! coût 150p textoperator g696ga 18+ XXX,hebrew,google_translate_placeholder
