text,label,original_text,language,translation_method,source_index
עברית : Es imposible discutir con él y siempre me trata co . . .,ham,עברית: Es imposible discutir con él y siempre me trata co...,hebrew,rule_based,0
עברית : ¡ HAS GANADO ! Tus vacaciones de 4 * en Costa Del Sol . . .,spam,עברית: ¡HAS GANADO! Tus vacaciones de 4* en Costa Del Sol...,hebrew,rule_based,1
עברית : Bitte stellen Sie heute noch eine Verbindung her v . . .,ham,עברית: Bitte stellen Sie heute noch eine Verbindung her v...,hebrew,rule_based,2
עברית : Kirim Uang Sekarang http : / / bit . ly / 2376 . . .,phishing,עברית: Kirim Uang Sekarang http://bit.ly/2376...,hebrew,rule_based,3
עברית : Paquet retenu dans le terminal : http : / / ffnst . com / . . .,phishing,עברית: Paquet retenu dans le terminal : http://ffnst.com/...,hebrew,rule_based,4
עברית : 🎉 CONGRATS ! אתה זכית ב $ 1267 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $1267 Amazon gift card! Redeem...,hebrew,rule_based,5
עברית : WhatsApp : New ביטחון code : 3384 . Don ' t share it . . . .,phishing,עברית: WhatsApp: New security code: 3384. Don't share it....,hebrew,rule_based,6
"עברית : Ich nehme an , wir hatten den Anruf am Freitag nich . . .",ham,"עברית: Ich nehme an, wir hatten den Anruf am Freitag nich...",hebrew,rule_based,7
עברית : Hows the pain dear ? y r u smiling ? . . .,ham,עברית: Hows the pain dear?y r u smiling?...,hebrew,rule_based,8
עברית : מתנה winner ! תבע your $ 569 gift card at tinyurl . . .,phishing,עברית: Prize winner! Claim your $569 gift card at tinyurl...,hebrew,rule_based,9
עברית : Transfernya ke BRI aja A / n ANGGA PRASTIA לא Rek 11 . . .,spam,עברית: Transfernya ke BRI aja A/n ANGGA PRASTIA No Rek 11...,hebrew,rule_based,10
עברית : Colis retenu au terminal : http : / / ffnst . com / 7DH101 . . .,phishing,עברית: Colis retenu au terminal : http://ffnst.com/7DH101...,hebrew,rule_based,11
עברית : Wells Fargo בנק שלי : Il tuo חשבון בנק è temporaneamente . . .,phishing,עברית: Wells Fargo Bank: Il tuo account è temporaneamente...,hebrew,rule_based,12
עברית : 🎉 CONGRATS ! אתם זכית ב $ 2260 Amazon gift card ! Redeem . . .,spam,עברית: 🎉 CONGRATS! You won $2260 Amazon gift card! Redeem...,hebrew,rule_based,13
עברית : בנק of America : שונה charge of $ 3570 . Revie . . .,phishing,עברית: Bank of America: Suspicious charge of $3570. Revie...,hebrew,rule_based,14
עברית : פרס winner ! דרוש your $ 3096 gift card at tinyur . . .,phishing,עברית: Prize winner! Claim your $3096 gift card at tinyur...,hebrew,rule_based,15
עברית : צור קשר 9092 for customer support . . .,ham,עברית: Call 9092 for customer support...,hebrew,rule_based,16
עברית : Your tax refund of $ 1995 is ready . תבע at tinyur . . .,phishing,עברית: Your tax refund of $1995 is ready. Claim at tinyur...,hebrew,rule_based,17
עברית : Job מבצע : Earn $ 4662 / month . Apply at goo . gl / xyz . . .,phishing,עברית: Job offer: Earn $4662/month. Apply at goo.gl/xyz...,hebrew,rule_based,18
עברית : Paket im Terminal festgehalten : http : / / ffnst . com / 7 . . .,phishing,עברית: Paket im Terminal festgehalten: http://ffnst.com/7...,hebrew,rule_based,19
עברית : Send Money מיד http / / bit . ly / 1321 . . .,phishing,עברית: Send Money Now http//bit.ly/1321...,hebrew,rule_based,20
עברית : ЧЕРНАЯ ИНТЕРНЕТ - МАГАЗИН BIG SAL 50 % BB Z10 Rp . 4 м . . .,spam,עברית: ЧЕРНАЯ ИНТЕРНЕТ-МАГАЗИН BIG SAL 50% BB Z10 Rp. 4 м...,hebrew,rule_based,21
עברית : חשבון בנק of America : שונה charge of $ 2034 . Revie . . .,phishing,עברית: Bank of America: Suspicious charge of $2034. Revie...,hebrew,rule_based,22
עברית : Sende jetzt Geld http / / bit . ly / 2865 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/2865...,hebrew,rule_based,23
עברית : У вас есть мобильный телефон 11 месяцев или более ? . . .,spam,עברית: У вас есть мобильный телефон 11 месяцев или более?...,hebrew,rule_based,24
"עברית : C ' è chi si sposa giovane ma sembra felice , ma cred . . .",ham,"עברית: C'è chi si sposa giovane ma sembra felice, ma cred...",hebrew,rule_based,25
"עברית : Hey , sie schauen heute Abend keinen Film , also wer . . .",ham,"עברית: Hey, sie schauen heute Abend keinen Film, also wer...",hebrew,rule_based,26
עברית : בהול : Your מתנה is waiting ! התקשר 5977 . . .,spam,עברית: URGENT: Your prize is waiting! Call 5977...,hebrew,rule_based,27
"עברית : Hervorragender Gedanke : "" Sei dankbar , dass du nich . . .",ham,"עברית: Hervorragender Gedanke: ""Sei dankbar, dass du nich...",hebrew,rule_based,28
עברית : זכית 4916 עכשיו ! Click bit . ly / 123 to תבע ! . . .,spam,עברית: WIN 4916 NOW! Click bit.ly/123 to claim!...,hebrew,rule_based,29
"עברית : Oops , ich glaube , ich habe nicht genug … Ich werde . . .",ham,"עברית: Oops, ich glaube, ich habe nicht genug… Ich werde ...",hebrew,rule_based,30
עברית : Ich bat Sen nach Chennai zu kommen und nach einer . . .,ham,עברית: Ich bat Sen nach Chennai zu kommen und nach einer ...,hebrew,rule_based,31
עברית : Wichtig : Ihr Apple ID wurde aus Sicherheitsgründen . . .,phishing,עברית: Wichtig: Ihr Apple ID wurde aus Sicherheitsgründen...,hebrew,rule_based,32
עברית : Sie müssen dem IRS JETZT Geld senden unter https : / . . .,spam,עברית: Sie müssen dem IRS JETZT Geld senden unter https:/...,hebrew,rule_based,33
"עברית : Hallo , Mitra ! Bitte überprüfen Sie Ihre Punkte und . . .",spam,"עברית: Hallo, Mitra! Bitte überprüfen Sie Ihre Punkte und...",hebrew,rule_based,34
עברית : ( aytd2773838383 https : / / goo . gl / 783175 . . .,spam,עברית: (aytd2773838383 https://goo.gl/783175...,hebrew,rule_based,35
עברית : ¿ A qué hora termino ? . . .,ham,עברית: ¿A qué hora termino?...,hebrew,rule_based,36
עברית : Your entry ניצחת ! דרוש $ 2004 כסף פרס at bit . ly / 1 . . .,spam,עברית: Your entry won! Claim $2004 cash prize at bit.ly/1...,hebrew,rule_based,37
עברית : Jaja sí . Nuestra amistad está en un hilo porque לא . . .,ham,עברית: Jaja sí. Nuestra amistad está en un hilo porque no...,hebrew,rule_based,38
"עברית : Je vais partir dans quelques minutes , on se voit l . . .",ham,"עברית: Je vais partir dans quelques minutes, on se voit l...",hebrew,rule_based,39
עברית : Enviar dinero ahora http / / bit . ly / 2067 . . .,phishing,עברית: Enviar dinero ahora http//bit.ly/2067...,hebrew,rule_based,40
עברית : Vous devez envoyer de l ' argent à l ' IRS MAINTENANT . . .,spam,עברית: Vous devez envoyer de l'argent à l'IRS MAINTENANT ...,hebrew,rule_based,41
עברית : Customer service annoncement . את have a New Years . . .,spam,עברית: Customer service annoncement. You have a New Years...,hebrew,rule_based,42
עברית : Debt relief program : Get out of debt fast ! חייג 17 . . .,spam,עברית: Debt relief program: Get out of debt fast! Call 17...,hebrew,rule_based,43
"עברית : Halo , saldo akun Voicespin Test_Keylock_05 Anda sa . . .",ham,"עברית: Halo, saldo akun Voicespin Test_Keylock_05 Anda sa...",hebrew,rule_based,44
עברית : Sende jetzt Geld http / / bit . ly / 1326 . . .,phishing,עברית: Sende jetzt Geld http//bit.ly/1326...,hebrew,rule_based,45
עברית : Kirim Uang Sekarang http / / bit . ly / 2389 . . .,phishing,עברית: Kirim Uang Sekarang http//bit.ly/2389...,hebrew,rule_based,46
עברית : Earn $ 1112 per week working from home ! . . .,spam,עברית: Earn $1112 per week working from home!...,hebrew,rule_based,47
עברית : Work from home : Earn $ 2541 / hour ! Start היום : bit . . . .,spam,עברית: Work from home: Earn $2541/hour! Start today: bit....,hebrew,rule_based,48
עברית : בהול ! Your acount has been hacked . Click hear to . . .,phishing,עברית: Urgent! Your acount has been hacked. Click hear to...,hebrew,rule_based,49
עברית : Your order # 9427 has been shipped . . . .,ham,עברית: Your order #9427 has been shipped....,hebrew,rule_based,50
"עברית : Yo , ich bin bei meinen Eltern und hole etwas Barge . . .",ham,"עברית: Yo, ich bin bei meinen Eltern und hole etwas Barge...",hebrew,rule_based,51
"עברית : También te amo , pero intenta administrar mejor tu . . .",ham,"עברית: También te amo, pero intenta administrar mejor tu ...",hebrew,rule_based,52
עברית : Carlos sedang meluangkan waktu dengan santai seper . . .,ham,עברית: Carlos sedang meluangkan waktu dengan santai seper...,hebrew,rule_based,53
"עברית : Per favore , segnalami qualsiasi errore da parte mi . . .",ham,"עברית: Per favore, segnalami qualsiasi errore da parte mi...",hebrew,rule_based,54
עברית : Obtén un potenciador de datos móviles gratis con c . . .,phishing,עברית: Obtén un potenciador de datos móviles gratis con c...,hebrew,rule_based,55
