text,label,category,language
From Enel: Final notice: pay £34.60 now to avoid disconnection: https://t.co/j42076 Msg ID 362695.,phishing,utility_bill_twin,en
ABSHER: ABSHER: final reminder. Your account closes in 24h unless you update your billing address. Click the link.,phishing,government_notice_twin,en
Halodoc: you have an unpaid bill of $23.15. Pay within 24h to avoid collections: https://goo.su/g63578/login,phishing,appointment_twin,en
GoPay: saldo Rp435.000 tertunda. Verifikasi akun Anda: gopay-au.vip/login,phishing,i18n_notice_twin,id
Axis Bank: Your policy has lapsed due to a failed payment. Reinstate within 24h: https://axisbank17.club Do not reply to this message.,phishing,insurance_loan_twin,en
"TATA POWER: You are owed a refund of C$1,200.00. Enter your bank details to receive it: https://rb.gy/v43567",phishing,utility_bill_twin,en
"Agenzia Entrate: rimborso di 45,00 € disponibile. Richiedilo entro 48h: agenziaentra-login.cf",phishing,i18n_notice_twin,it
[Orange] Orange: final reminder. Your account closes in 24h unless you confirm your details. Click the link.,phishing,travel_notice_twin,en
Zara: due to a security update your login will stop working. Re-register via given link before Sunday.,phishing,utility_bill_twin,en
"Bajaj Finserv: you are pre-approved for a 18,50 € loan. Confirm your date of birth and card details to receive it today: https://is.gd/b31179/secure This is an automated message.",phishing,insurance_loan_twin,en
"Dear Customer, your Ziraat* Reminder account is disabled. Please click the link to update your PAN number.",phishing,bank_account_service_twin,en
SDA: SDA: your electricity will be disconnected tonight at 8pm because last month's bill was not updated. Call 1-800 517 5617 immediately.,phishing,delivery_notice_twin,en
KPN: KPN: your card has been temporarily restricted. Reply with your card number and expiry date to remove the restriction.,phishing,bank_fraud_check_twin,en
Play: we tried to deliver your parcel but no one was home. Reschedule to avoid it being sent back :,phishing,telco_bill_twin,en
[Hulu] Your account is on hold due to a billing problem. Confirm your date of birth and card details: hulux.tk/secure,phishing,subscription_notice_twin,en
PayPal: Ihr Konto wurde eingeschränkt. Bestätigen Sie Ihre Daten: https://secure-paypal.site/reactivate,phishing,i18n_notice_twin,de
M-PESA: Unusual login detected. Confirm your password and PIN here: online-m-pesa.ws Questions? Call the number on the back of your card.,phishing,p2p_payment_twin,en
"your one-time code 643 658 was used to authorize £184.20. If not you, verify your identity: gojek-support.ws/unlock",phishing,otp_code_twin,en
"Poste Italiane: pacco in giacenza, spese doganali di 1200,00€ da pagare: poste-warsaw.ru",phishing,i18n_notice_twin,it
NHS: you are eligible for a new vaccine. Apply for your pass here and enter your bank details for the £85.12 fee: https://s.id/e62670,phishing,appointment_twin,en
"PostNL: uw pakket ligt bij de douane. Betaal 14,99 € invoerkosten: https://tinyurl.com/h45258/claim",phishing,i18n_notice_twin,nl
Bell: due to a security update your login will stop working. Re-register via given link before Oct 10.,phishing,delivery_notice_twin,en
bol.com: betaling mislukt voor bestelling 1265343878. Werk je gegevens binnen 12 uur bij: bol-buenosaires.gq,phishing,i18n_notice_twin,nl
NYTimes: We detected an unusual login. Confirm your password here or your account will be permanently closed: https://cutt.ly/c50371/login,phishing,subscription_notice_twin,en
Booking.com: your account is locked. Confirm your password and phone number here: bookingcom46.net/id,phishing,account_security_twin,en
"[M-Pesa] Alex Kim sent you 92,41€. To receive it, verify your SSN at http://m-pesa58.help.",phishing,p2p_payment_twin,en
JNE: paket tertahan di bea cukai. Bayar Rp2.130.000 untuk pelepasan: jne.billing-service.pw,phishing,i18n_notice_twin,id
JNE: We could not deliver your package. Reschedule and pay the £34.60 redelivery fee: http://online-jne.ru,phishing,delivery_notice_twin,en
"your PKO BP Security check account will be suspended today due to KYC expiry. Update KYC via the link below. Thank you, Team PKO BP Security check.",phishing,bank_fraud_check_twin,en
Vi Your last payment failed. Update your card within 24h or access will be restricted: https://bit.ly/s21103,phishing,telco_bill_twin,en
Trendyol: we tried to deliver your parcel but no one was home. Reschedule to avoid it being sent back :,phishing,bank_fraud_check_twin,en
"Rogers: your order 2579-99051 for 780,00€ has been placed. If you did not make this purchase, call 1-877-537-2164 to cancel.",phishing,otp_code_twin,en
FROM ICICI BANK: From ICICI Bank: final reminder. Your account closes in 24h unless you confirm your details. Click the link.,phishing,bank_account_service_twin,en
From DHL: your account has been temporarily locked. Click the link below to confirm your card number and PIN.,phishing,delivery_notice_twin,en
Bradesco: compra suspeita de R$12.40. Cancele agora: https://tinyurl.com/x49174/verify,phishing,i18n_notice_twin,pt
Ziraat: you have 2 pending voicemails. Click here to view.,phishing,bank_card_txn_twin,en
"Intesa Sanpaolo: operazione sospetta di 184,20 €. Blocca subito: intesa42.icu",phishing,i18n_notice_twin,it
"Payroll Notice: Payroll ALERT: a new payee was added to your account. If this was not you, call 1-877 863 4409 now.",phishing,reservation_community_twin,en
"Movistar: factura impagada de 58,20€. Evite el corte de línea pagando aquí: https://movistar-in.cn",phishing,i18n_notice_twin,es
"СДЭК: посылка задержана, оплатите пошлину 89,99 ₽: https://cdek-us.online/confirm",phishing,i18n_notice_twin,ru
"SBI: A new device signed in from Manila. If this wasn't you, secure your account now: https://is.gd/r47728/verify Do not reply to this message.",phishing,bank_account_service_twin,en
Telstra Alert – Telstra Alert: your account has been temporarily locked. Click the link below to validate your account. Msg&data rates may apply.,phishing,telco_bill_twin,en
"STARLING: A payment of C$18.50 to STARBUCKS was approved on card *9370. If this was not you, cancel it now: http://starling-sydney.click/id",phishing,bank_card_txn_twin,en
"From GCash| From GCash: your package could not be delivered because customs duties of C$3,000.00 are unpaid. Please confirm your payment to avoid delays : Manage alerts in the app.",phishing,p2p_payment_twin,en
Mosenergosbyt Alert: your package could not be delivered because customs duties of £199.00 are unpaid. Please confirm your payment to avoid delays :,phishing,utility_bill_twin,en
Bank of America: we sent you a code by mistake. Please reply with the code 9762 to cancel the transaction.,phishing,otp_code_twin,en
"PhonePe: Rs.2,500 cashback pending. Claim by entering your UPI PIN here: phonepe47.help/confirm",phishing,i18n_notice_twin,hi
"Госуслуги: вам положена выплата 1200,00 ₽. Получите её здесь: gosuslugi-au.vip/unlock",phishing,i18n_notice_twin,ru
"Poste Italiane: pacco in giacenza, spese doganali di 2399,00 € da pagare: https://u.to/c82021/claim",phishing,i18n_notice_twin,it
Hermes: Zustellung fehlgeschlagen. Adresse innerhalb von 24 Std. bestätigen: https://t.co/m77879,phishing,i18n_notice_twin,de
bol.com: betaling mislukt voor bestelling B42441. Werk je gegevens binnen 12 uur bij: bol.billing-portal.support,phishing,i18n_notice_twin,nl
"البنك الأهلي: عملية مشبوهة بقيمة 2,150.00 ر.س. ألغها الآن: http://app-alrajhi.co/verify",phishing,i18n_notice_twin,ar
Blue Dart: We could not deliver your package. Reschedule and pay the £64.20 redelivery fee: https://v.gd/n45539/login,phishing,delivery_notice_twin,en
Telus - Your last payment failed. Update your card within 24h or your account will be permanently closed: https://u.to/v46645,phishing,telco_bill_twin,en
Etsy: your points worth C$612.40 expire today. Redeem now by clicking the link.,phishing,subscription_notice_twin,en
Sparkasse Alert: your refund of C$118.60 is ready. Provide your card details to receive it.,phishing,insurance_loan_twin,en
Vodafone: fattura non pagata. Evita la sospensione della linea: https://tinyurl.com/v65900/reactivate,phishing,i18n_notice_twin,it
Kaiser Permanente: you have 2 pending documents. Click here to view.,phishing,appointment_twin,en
KLM Alert: Your booking could not be confirmed. Re-enter your card details within 2 hours: http://klm-hamburg.click,phishing,travel_notice_twin,en
"Zalando| Zalando: your points worth 1,99 € expire today. Redeem now by clicking the link.",phishing,bank_fraud_check_twin,en
"Delhivery: delivery failed, update address and pay Rs.65 redelivery fee: https://delhivery-sãopaulo.top",phishing,i18n_notice_twin,hi
From Vi: suspicious activity has been noticed on your account. You must confirm your details to prevent service termination.,phishing,telco_bill_twin,en
Uniqlo: your order of a yoga mat is on hold. Update your payment information to release it: https://is.gd/j22952,phishing,order_notice_twin,en
Strava Alert Strava Alert: your account has been temporarily locked. Click the link below to confirm your details. Msg ID DH390443581.,phishing,subscription_notice_twin,en
From Telus: Your last payment failed. Update your card within 24h or your card will be blocked: http://telus-lagos.live,phishing,telco_bill_twin,en
"Πειραιώς: ύποπτη συναλλαγή 142,00€. Ακυρώστε τώρα: https://alpha-secure.buzz/secure",phishing,i18n_notice_twin,el
"Bol.com Notice: Your order 3135558070 for a tent (4,20€) has shipped. If you did not place this order, call 1-877-281-5251 within 24h.",phishing,order_notice_twin,en
(Chronopost) Chronopost: your points worth $23.15 expire today. Redeem now by clicking the link. This is an automated message.,phishing,appointment_twin,en
Ozon: оплата заказа 473872 не прошла. Обновите данные карты в течение 12 часов: ozon-verify.digital,phishing,i18n_notice_twin,ru
"Colissimo: Colissimo: your order 38338901 for 199,00 € has been placed. If you did not make this purchase, call 1-866-581-1930 to cancel.",phishing,account_security_twin,en
your Truist code is ER7633. A support agent will call to collect it and secure your account.,phishing,otp_code_twin,en
"(Zalando) Your Zalando account will be suspended today due to KYC expiry. Update KYC via the link below. Thank you, Team Zalando.",phishing,p2p_payment_twin,en
AT&T AT&T: your card has been temporarily restricted. Reply with your card number and expiry date to remove the restriction.,phishing,telco_bill_twin,en
"Itaú – Did you make a A$18.50 purchase at 7-ELEVEN? If NO, update your payment information at itaú86.cn/id or your payment will be reversed.",phishing,bank_fraud_check_twin,en
Revolut Notice: we tried to deliver your parcel but no one was home. Reschedule to avoid it being sent back :,phishing,bank_fraud_check_twin,en
(Steam) unusual sign-in detected. Verify your identity to keep your account: http://steam.secure-portal.help,phishing,account_security_twin,en
Turkcell Alert: Turkcell: your refund of C$12.40 is ready. Provide your card details to receive it. Reply STOP to unsubscribe.,phishing,bank_account_service_twin,en
Allegro: płatność za zamówienie US398777613 nie powiodła się. Zaktualizuj kartę: allegro-secure.tk,phishing,i18n_notice_twin,pl
BCA Alert: BCA Alert: you have 3 pending documents. Click here to view. Thank you for banking with us.,phishing,bank_card_txn_twin,en
"Dear Customer, your Boots account is disabled. Please click the link to update your PAN number.",phishing,appointment_twin,en
