text,label,category,language,ots_label,ots_prob,note,day
"あなたのAmazonアカウントへようこそ。この取引を確認してください：¥45,200の購入が1月15日に行われました。返信YES/NO。",ham,ecommerce_transaction_check,ja,phishing,0.959,"Japanese legitimate transaction-confirmation alerts (brand name + amount + reply YES/NO, no link and no sensitive data requested) must be ham, like the Chase fraud-alert pattern.",2026-09-21
"来月のジム会員費1,980円の引き落とし予定です。FitNext会員ページで確認できます。",ham,gym_membership_billing,ja,phishing,0.9505,Routine Japanese subscription/direct-debit billing notices with no link or urgency are ham; the model over-weights currency amounts plus account-page mentions in non-English text.,2026-09-21
"جنة الذهب: استثمر 5,000 درهم واربح 50,000 درهم في شهر واحد! إرسال الأموال الآن: TransferWise+966...",phishing,investment_scam,ar,spam,0.9475,"Investment pitches that instruct the reader to wire/transfer money to a named service are phishing, not merely money-making spam.",2026-09-21
銀行員です。あなたのアカウントの確認が必要です。パスワードを返信して下さい。,phishing,password_theft,ja,ham,0.8219,Japanese impersonation of a bank employee with a direct request to reply with the password was read as benign; need credential-request cues (パスワードを返信) in non-Latin scripts.,2026-09-21
Free trial of Fitness+ Premium starts today! 🏋️ Cancel anytime before Feb 15 at fitness-plus.app/settings.,ham,app_trial_notice,en,spam,0.9661,"Subscription trial-started notices with a cancel link on the service's own domain are service notices, not advertising.",2026-09-21
Your Vodafone bill of £42.99 is due on 22 Jan. Pay securely: myvodafone.co.uk/billing or reply PAY,ham,utility_bill,en,phishing,0.9938,Routine billing reminders with a normal due date and the carrier's real domain (myvodafone.co.uk) must not be treated as phishing just because they mention payment.,2026-09-21
"İş buldum! Haftalık $1,500 kazanın evden. Tıkla: t.me/joboffers",spam,work_from_home_ad,tr,phishing,0.9866,"Generic work-from-home earnings ads with no impersonation and no 'you were selected' claim are spam under decision 2, even with a t.me link.",2026-09-21
Turkcell: Faturanız 89 TL ödenmek için bekliyor. Öde: myturkcell.com.tr/odemeler,ham,utility_bill,tr,phishing,0.9987,A routine bill notice on the carrier's genuine domain (myturkcell.com.tr) is ham; the model treats any billing+link message as phishing instead of checking domain legitimacy and absence of invented urgency.,2026-09-21
Netflix subscription £9.99 renews on 20 Jan. Change payment method: netflix.com/account/billing,ham,subscription_renewal,en,phishing,0.9958,Subscription renewal notice linking to the real netflix.com domain with no threat or credential request is ham; needs brand-domain whitelisting.,2026-09-21
Verizon: Your bill of $156.43 is now available. View and pay securely: myvzw.com/billpay,ham,utility_bill,en,phishing,0.9991,Legitimate bill-available notice on myvzw.com is ham; model over-weights '$ amount + pay link' without checking the official domain.,2026-09-21
