text,label,augmentation_type
Эксклюзивное предложение: получите скидку 50% на следующую покупку в магазине SuperShoes. Посетите www.supershoes.com/offers. Отказаться от подписки можно по ссылке bit.ly/com37378.,spam,
"Es imposible discutir con él y siempre me trata como su sumiso, como si nunca me hubiera liberado ... Lo cual hizo y se lo recordaré si es necesario",ham,
أرسل الأموال الآن http://bit.ly/1507,phishing,
"¡HAS GANADO! Tus vacaciones de 4* en Costa Del Sol o £5000 te esperan para ser recogidos. Llama al 09050090044 ahora para reclamar. SAE, TC s, POBox334, Stockport, SK38xh, Coste £1.50/msg, Máx10min.",spam,
عزيزي، سنذهب إلى مكان الربر الخاص بنا,ham,
Bitte stellen Sie heute noch eine Verbindung her vor <DECIMAL> oder erstatten Sie die Rechnung.,ham,
"Уважаемый(ая), вас пригласили в XCHAT. Это наш последний попытка связаться с вами! Напишите CHAT на 86688",spam,
Kirim Uang Sekarang http://bit.ly/2376,phishing,
Отправьте деньги сейчас http//bit.ly/1502,phishing,
هذا النص ليس بواجد في اللغة الإنجليزية. هل ترغب بمساعدتك بشيء معين آخر؟,spam,
Посылка задержана в терминале: http://ffnst.com/7DH517,phishing,
Paquet retenu dans le terminal : http://ffnst.com/7DH773,phishing,
🎉 CONGRATS! You won $1267 Amazon gift card! Redeem at tinyurl.com/abc 🎉,spam,
WhatsApp: New security code: 3384. Don't share it.,phishing,
"Ich nehme an, wir hatten den Anruf am Freitag nicht. Können wir davon ausgehen, dass wir ihn jetzt in diesem Jahr nicht mehr haben werden?",ham,
هههه..استخدم عقلك عزيزي,ham,
Hows the pain dear?y r u smiling?,ham,
Prize winner! Claim your $569 gift card at tinyurl.com/abc,phishing,
Transfernya ke BRI aja A/n ANGGA PRASTIA No Rek 1172-01-002218-502,spam,
Colis retenu au terminal : http://ffnst.com/7DH1014,phishing,
பேக்கேட் முன்மொழிகளில் கையொப் பெற்றது: http://ffnst.com/7DH646,phishing,
Wells Fargo Bank: Il tuo account è temporaneamente bloccato. Accedi su http://goo.gl/2a234 per proteggere il tuo account.,phishing,
يا صديقي، كنت أرغب في أن أوبيخك أمس ولكن كانت الأمور قد فاتت... من أين لي أن أملك الشجاعة كذلك؟ لو قد سألتني قبل أن يسألني هو، لكنت قد خرجت معكم. وما زلت تستطيع أن تتصنع الحقيقة بهذه الطريقة.,ham,
🎉 CONGRATS! You won $2260 Amazon gift card! Redeem at goo.gl/xyz 🎉,spam,
Bank of America: Suspicious charge of $3570. Review at bit.ly/123,phishing,
ඔබට ප්රවේශ සේවා ද්රසවියක් ඇදීමකි. නවීඨතයි නථවලට 0800 542 0825 දක්වා ඇපීමට!,spam,
3700 - ваш проверочный код. Не деляться им с другими,ham,
பேக்கேட் தரையில் நீங்கள் கைப்பற்றப்பட்டுள்ளது: http://ffnst.com/7DH116,phishing,
Prize winner! Claim your $3096 gift card at tinyurl.com/abc,phishing,
Call 9092 for customer support,ham,
Your tax refund of $1995 is ready. Claim at tinyurl.com/abc,phishing,
"Бороться с миром легко, ты либо побеждаешь, либо проигрываешь, но бороться с кем-то, кто тебе близок, сложно: если ты проиграешь - ты проиграешь, если победишь - все равно проиграешь.",ham,
Job offer: Earn $4662/month. Apply at goo.gl/xyz,phishing,
Paket im Terminal festgehalten: http://ffnst.com/7DH1057,phishing,
Send Money Now http//bit.ly/1321,phishing,
මගේ විභාගය පෙබරවාරි 4 සඳහා විශ්වාසයෙන් විසී සුභ දවසක් වේවා.,ham,
Наслаждайтесь жизнью. . Спокойной ночи,ham,
"ЧЕРНАЯ ИНТЕРНЕТ-МАГАЗИН BIG SAL 50% BB Z10 Rp. 4 млн ДАКОТА Rp.2,8 млн Самсунг ноут II Rp. 3 млн Iphone 5 16GB Rp. 3 млн Ноутбук, камера и др. Интересуетесь? Приглашаем вас на BBM PIN: 25A4FF8C",spam,
Bank of America: Suspicious charge of $2034. Review at bit.ly/123,phishing,
Sende jetzt Geld http//bit.ly/2865,phishing,
