text,label,category
"Zara is hiring! Earn $69-AED 16 daily like videos. No experience, same-day pay. Ages 22+. WhatsApp me on +971 56 190 5552",phishing,job_scam
"Coinbase: a withdrawal of $2,796 is pending. Not you? Cancel it here: cancel79.site/id",phishing,account_problem_link
Carrefour: get a AED 94 gift card when you spend R$866.90 Friday only. In store and online. Terms apply. Reply STOP to opt out.,spam,giftcard_promo
Enter our back to school giveaway for a chance to win a €500 Tesco gift card. Enter at tesco.com/account/giveaway. No purchase necessary.,spam,giftcard_promo
Etisalat Alert: your account will be locked today. Update your details at https://rb.gy/e50256,phishing,account_problem_link
"Adobe receipt: ₹54 charged this weekend. If you did not authorize this, cancel at get-refund.click",phishing,fake_subscription_charge
"Now hiring: care assistants at IKEA, ₹2,721/hr. Apply at infojobs.net. Reply STOP to opt out.",spam,real_job_ad
AT&T: your bill of ₹46 is now available. View or pay at att.com/orders. Autopay will process on 3/1.,ham,real_telco_util_notice
Votre code de connexion PNC est 521306. Il expire dans 10 minutes.,ham,real_codes
"Aramex: sorry we missed you. Your parcel is at the Toronto depot, collect it with photo ID or rebook in the Aramex app.",ham,real_delivery_notice
"Heyy, long time no talk! How have you been? Sorry, is this the right number?",phishing,wrong_number_opener
"hey it's Anna from yoga, finally got a UK number, save me x",ham,friend_new_number
"Bet €56 get $4,902 in free bets at WinZone. 18+, T&Cs apply, new customers only.",spam,generic_ads
Venmo: a withdrawal of AED 750.80 is pending. Not you? Cancel it here: secure4.link,phishing,account_problem_link
Evri: your parcel #2471-59352 will be delivered Tuesday between 3pm and 7pm. No action needed.,ham,real_delivery_notice
"Hi there, long time no talk! How have you been? Apologies if I have the wrong number.",phishing,wrong_number_opener
Your HBO Max subscription renewed for AED 54.03. To cancel and get a refund call +1 622 608 6956 within 24h.,phishing,fake_subscription_charge
Al Rajhi: AED 35 was deposited into your account ending 5925. Available balance ₹680.87.,ham,real_bank_notice
Emirates: flight BE7906 to Jakarta now departs from gate D37. Boarding at 4:45pm.,ham,real_hr_and_appointments
DHL: we missed you Saturday. Reschedule delivery (€4.99) at http://dhl31.buzz/verify,phishing,delivery_fee
"Selected candidate: Shein needs 43 people to complete surveys, ₹2,157/day. Start today, reply YES.",phishing,job_scam
Final notice from IRS: a warrant will be issued unless you settle $156 today. Call (228) 252-3462 ref #20672701.,phishing,gov_callback
Heyy Sofía's interview went well. Will update everyone tonight.,ham,friend_favor
"مبروك! تم اختيارك للفوز بقسيمة €850,000 من Costco. اضغط للمطالبة: http://prize-nairobi.online/claim",phishing,prize_win_i18n
BBVA Alert: your account will be closed in 24 hours. Update your details at http://update14.info/id,phishing,account_problem_link
Scotiabank: a wire transfer of AED 42 is pending. Not you? Cancel it here: e-cancel.info,phishing,account_problem_link
Heyy what's the code in the message you just got? I put your number in by mistake x,phishing,code_relay
Amazon Prime: your payment of AED 795.61 was processed. Next billing date Friday. Manage your plan in Account settings.,ham,real_subscription_notice
"Hey quick one, forward me the text with the code that just came through, I used your number for my account please",phishing,code_relay
Reminder: your appointment with Dr. Beatriz is Monday at 8:30pm. Reply C to confirm or R to reschedule.,ham,real_hr_and_appointments
Your Fnac return for a phone case was received. Refund of $819.30 will appear on your card in 3-5 business days.,ham,real_order_notice
"Your Lyft driver Pedro is arriving in a silver Skoda, plate E85N612.",ham,real_hr_and_appointments
مبروك! تم اختيارك للفوز بقسيمة £500 من Shell. اضغط للمطالبة: prize-alert.xyz,phishing,prize_win_i18n
"Hi, this is Lena from the salon. Is this still the best number for appointment reminders?",ham,friend_wrong_number
"Hi, it's Léa, got a new number, save it! Old one stops working Sunday.",ham,friend_new_number
Amazon: Kindle Paperwhite is out for delivery today. Someone should be available to sign.,ham,real_order_notice
"Hi Sis it's me Please reply here so I know you got this. Something's come up, are you free to help with a payment?",phishing,new_number_family
"Yo it's Pierre, got a new number, save it! Old one stops working Tuesday.",ham,friend_new_number
"Hi,, long time no talk! How have you been? Hope this is still your number.",phishing,wrong_number_opener
"Hola, ¿te llegó un código de Bizum? Puse tu número por error, ¿me lo pasas?",phishing,code_relay_i18n
"WINNER: Your mobile won $10,000 in the Mobile Draw. Send your name, address and bank details to claim before tonight. Ref C230596",phishing,prize_win
Naturgy: your meter reading is due. Submit it in the app by Monday to avoid an estimated bill.,ham,real_telco_util_notice
