text,label,corpus_label,source,confidence,p_ham,p_spam,p_phishing,p_no_message
WhatsApp: New security code: 3384. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
"Ich nehme an, wir hatten den Anruf am Freitag nicht. Können wir davon ausgehen, dass wir ihn jetzt in diesem Jahr nicht mehr haben werden?",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Wells Fargo Bank: Il tuo account è temporaneamente bloccato. Accedi su http://goo.gl/2a234 per proteggere il tuo account.,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
У вас есть мобильный телефон 11 месяцев или более? Вы имеете право на обновление до последних цветных мобильных телефонов с камерой бесплатно! Позвоните в The Mobile Update Co бесплатно по номеру 08002986030.,phishing,spam,corpus,0.69,0.0,0.23,0.77,0.0
ඔහු විනාශයේ විසින් carly quick මගේ bffs සහතික කල හැකියි,ham,ham,corpus,0.69,0.9277,0.012,0.0602,0.17
انتظر للحظة، إذا كنت ترغب في التحويل، قم بالاتصال أولاً على رقم هاتفي الجديد هذا. 085624347737 لأن هناك تغيير في الحساب المصرفي. شكرًا لك.,phishing,spam,corpus,0.82,0.13,0.0,0.87,0.0
Your order #9427 has been shipped.,ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Bank of America: Suspicious charge of $1688. Review at bit.ly/123,phishing,phishing,corpus,0.94,0.04,0.0,0.96,0.0
Aku ingin mengucapkan selamat tahun baru dan aku ingin membicarakan beberapa saran hukum terkait ketika aku dan Gary putus tetapi secara langsung. Aku akan pergi ke Ptbo untuk itu. Semoga semuanya baik-baik saja denganmu sayang dan aku mencintaimu :),ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"BONUS Rp. 5.000 per te! Basta inviare SMS 2 volte oggi per ricevere il bonus, solo per oggi! T483",spam,spam,corpus,0.86,0.0,0.9,0.1,0.0
Invia denaro ora http//bit.ly/1539,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
WIN 3643 NOW! Click tinyurl.com/abc to claim!,phishing,spam,corpus,0.96,0.0,0.03,0.97,0.0
Per coloro che hanno un contratto di programmazione di giochi (e anche DWM): stiamo pianificando di partecipare a Gemastik. Si tratta della competizione più grande tra i corsi di laurea in informatica/IF e abbiamo grandi opportunità in questo settore.,ham,ham,corpus,0.98,0.99,0.01,0.0,0.0
Earn $2427 per week working from home!,spam,spam,corpus,0.99,0.0,0.99,0.01,0.0
Your tax refund of $2698 is ready. Claim at bit.ly/123,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
දැන් මුදල් යොමු කරන්න http//bit.ly/1060,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
Send Money Now http//bit.ly/1599,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
Envoyer de l'argent maintenant http//bit.ly/2337,phishing,phishing,corpus,0.98,0.0,0.01,0.99,0.0
"Hello, your Voicespin COSMETICS_GROUP_COMPANY account balance is -278.18. Unless you fill it up ASAP it will reach the credit limit and it will be blocke",phishing,ham,corpus,0.67,0.24,0.0,0.76,0.0
"Sie reden nur, das ist alles. Sie möchten nichts anderes.",ham,ham,corpus,0.99,1.0,0.0,0.0,0.01
Prize winner! Claim your $4366 gift card at tinyurl.com/abc,phishing,phishing,corpus,1.0,0.0,0.0,1.0,0.0
ඔබගේ දිස්පාලන ආරක්ෂක යවන කේතය වේ: 748077 \\tzD9jY28Wrn,ham,ham,corpus,0.83,0.88,0.0,0.12,0.0
"¡El hermoso mañana nunca llega! Cuando llega, ya es HOY. En la búsqueda de un hermoso mañana, no desperdicies tu maravilloso HOY. ¡BUENOS DÍAS!",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Bonjour chéri, j'ai terminé mes études maintenant, alors envoie-moi un message quand tu as terminé si tu le peux. Bisous, Kate xxx",ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
"Dear Nicola Van blommestein, Check-out your email for the special Christmas offer on our health products! Yours, Suppline central@csdep. net",spam,ham,corpus,0.99,0.0,1.0,0.0,0.0
"Hola, el saldo de tu cuenta de Voicespin Stanislav_Poliakov es de 95.83. A menos que lo recargues lo antes posible, alcanzará el límite de crédito y se bloqueará automáticamente.",ham,ham,corpus,0.85,0.89,0.0,0.11,0.0
🎉 CONGRATS! You won $3206 Amazon gift card! Redeem at goo.gl/xyz 🎉,phishing,spam,corpus,1.0,0.0,0.0,1.0,0.0
Debt relief program: Get out of debt fast! Call 1521,spam,spam,corpus,0.84,0.0,0.88,0.12,0.0
Don't miss this amazing deal: shoes for only $100!,spam,spam,corpus,1.0,0.0,1.0,0.0,0.0
WhatsApp: New security code: 9397. Don't share it.,ham,phishing,corpus,0.99,1.0,0.0,0.0,0.0
நீங்கள் வெற்றி பெற்றவர் உங்களுக்கு சிறந்தவராக தேர்ந்தெடுக்கப்பட்டுள்ளீர்கள் £1000 பணம் அல்லது 4* விடுப்பு (விமானங்களையும் அட்டகாசம் செய்யப்பட்டது) உழைந்த ஒரு இயக்குநருடன் பேசி 0871277810810 எண்ணை அணுகவும்.,phishing,spam,corpus,0.99,0.0,0.0,1.0,0.0
Package held at terminal: http://ffnst.com/7DH415,phishing,phishing,corpus,0.77,0.17,0.0,0.83,0.0
V bello! Via a Sheffield domani per esporre le mie opinioni sulle categorie da utilizzare per misurare l'etnia nel prossimo censimento. Occupato a trascrivere. :-),ham,ham,corpus,1.0,1.0,0.0,0.0,0.0
Grande vendita estiva! Acquista uno e ricevi uno gratis su tutti i costumi da bagno su TrendyStyles. Acquista ora su www.trendystyles.com/sale12,spam,spam,corpus,1.0,0.0,1.0,0.0,0.0
Invia denaro adesso http//bit.ly/2005,phishing,phishing,corpus,0.99,0.0,0.01,0.99,0.0
"அதிலும் நீர் ஜில் லாக்சின், என்னடா நிகர்",ham,ham,corpus,0.82,0.9886,0.0,0.0114,0.12
"Bonjour, votre solde de compte Voicespin Tera_Solutions_Ltd est de -566,95. À moins que vous ne le rechargiez dès que possible, il atteindra la limite de crédit et sera bloqué automatiquement.",ham,ham,corpus,0.79,0.84,0.0,0.16,0.0
Bank of America: Suspicious charge of $3650. Review at tinyurl.com/abc,phishing,phishing,corpus,0.99,0.01,0.0,0.99,0.0
Ржу нимагу. В точку назвал.,ham,ham,corpus,0.99,1.0,0.0,0.0,0.0
الحزمة محتجزة في المطار: http://ffnst.com/7DH742,phishing,phishing,corpus,0.82,0.13,0.0,0.87,0.0
