text,label,original_text
הודעה: Hows the pain dear?y r u smiling?,ham,Hows the pain dear?y r u smiling?
פרס winner! claim your $569 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $569 gift card at tinyurl.com/abc
פרס winner! claim your $3096 gift card at tinyurl.com/abc,phishing,Prize winner! Claim your $3096 gift card at tinyurl.com/abc
התקשר 9092 for customer support,ham,Call 9092 for customer support
הודעה: Your tax refund of $1995 is ready. Claim at tinyurl.com/abc,phishing,Your tax refund of $1995 is ready. Claim at tinyurl.com/abc
דחוף: your פרס is waiting! התקשר 5977,spam,URGENT: Your prize is waiting! Call 5977
win 4916 עכשיו! לחץ bit.ly/123 to claim!,spam,WIN 4916 NOW! Click bit.ly/123 to claim!
your entry won! claim $2004 cash פרס at bit.ly/123,spam,Your entry won! Claim $2004 cash prize at bit.ly/123
customer service annoncement. you have a new years delivery waiting for you. please התקשר 07046744435 עכשיו to arrange delivery,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
debt relief program: get out of debt fast! התקשר 1761,spam,Debt relief program: Get out of debt fast! Call 1761
"הודעה: Halo, saldo akun Voicespin Test_Keylock_05 Anda saat ini sebesar 9.25. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akun akan diblokir secara otomatis.",ham,"Halo, saldo akun Voicespin Test_Keylock_05 Anda saat ini sebesar 9.25. Jika tidak segera diisi, saldo akan mencapai batas kredit dan akun akan diblokir secara otomatis."
דחוף! your acount has been hacked. לחץ hear to fix: http://בנק-fix.com,phishing,Urgent! Your acount has been hacked. Click hear to fix: http://bank-fix.com
הודעה: Your order #9427 has been shipped.,ham,Your order #9427 has been shipped.
הודעה: I think its far more than that but find out. Check google maps for a place from your dorm.,ham,I think its far more than that but find out. Check google maps for a place from your dorm.
debt relief program: get out of debt fast! התקשר 7468,spam,Debt relief program: Get out of debt fast! Call 7468
