text,label,,,,,,
"Pos-Pos Serbia: Karena kurangnya alamat dan nomor pos yang tidak tepat, paket Anda tidak dapat diserahkan dan biaya pengiriman ulang ditanggung oleh Anda. Klik tautan di bawah untuk mengubah alamat dan meminta pengiriman ulang: https://tinyurl.com/57d2j68b?fwf=m5CWOgiZM4. Lakukan perubahan dalam waktu 12 jam untuk menghindari kerugian yang tidak perlu. Semoga harimu menyenangkan, Pos-Pos Serbia!",phishing,,,,,,
Selamat! Anda telah memenangkan kartu hadiah Walmart senilai $1000. Kunjungi http://bit.ly/12345 untuk klaim sekarang.,spam,,,,,,
Akun Anda telah dikunci sementara. Silakan masuk di http://fake-bank.example.com untuk membuka kuncian.,phishing,,,,,,
"Hey, apakah kamu akan datang ke pesta malam ini?",ham,,,,,,
Darurat! Kartu kredit Anda telah diretas. Segera hubungi 1800-FAKE-NUM.,phishing,,,,,,
"Hai, ini adalah temanmu. Bisakah kamu membantu aku dengan mengirimkan kode verifikasi yang baru saja kamu terima?",phishing,,,,,,
Ini hanya pesan biasa yang menanyakan kabarmu. Bagaimana kabarmu?,ham,,,,,,
Anda memiliki satu pesan suara baru. Silakan hubungi 123456789 untuk mendengarkannya.,spam,,,,,,
Paket Anda menunggu pengiriman. Harap konfirmasi alamat Anda di http://fake-parcel.com,phishing,,,,,,
Kode verifikasi Anda adalah 56667,ham,,,,,,
Kode verifikasi Microsoft Anda adalah 12345,ham,,,,,,
Kode verifikasi Google adalah 122334,phishing,,,,,,
Atur ulang kata sandi akun bank Anda di https://bakofamerica.com/resetpassword,phishing,,,,,,
Kode PIN Anda adalah 1234,ham,,,,,,
Sisa saldo Anda adalah 1000 USD.,ham,,,,,,
"Untuk tetap terhubung, langganan Anda akan diperpanjang secara otomatis setelah periode tenggang. Silakan isi ulang pulsa dengan jumlah langganan dalam waktu 2 hari dari tanggal perpanjangan otomatis untuk menghindari pemutusan koneksi. Anda dapat membatalkan opsi perpanjangan otomatis melalui *802#.",ham,,,,,,
Brex: TelecomXChange LLC sedang menunggu Anda untuk menambahkan info ke 4 dari pengeluaran Anda. Tambahkan struk dan memo di aplikasi Brex.,ham,,,,,,
Balas STOP untuk berhenti langganan. Tarif pesan dan data mungkin berlaku.,ham,,,,,,
"T-Mobile: Selamat datang di Jordan! Paket Anda mencakup layanan dengan data tanpa batas dari kami sekarang dengan kecepatan lebih cepat hingga 256Kbps, ditambah teks tanpa batas tanpa biaya tambahan! Panggilan seharga $0.25/menit. Kunjungi t-mo.co/intl-roam1 untuk informasi lebih lanjut dan melihat opsi panggilan/data tambahan. Selamat menikmati masa menginap Anda!",ham,,,,,,
Kode Keamanan Transfer Bank al Etihad: 888134 Kode ini akan digunakan untuk melakukan transfer sebesar 5 JOD dari akun Anda.,ham,,,,,,
Kode 88881,ham,,,,,,
Apakah Anda ingin saya membantu menerjemahkan teks tertentu atau memberikan informasi tentang topik tertentu? Silakan beri tahu saya bagaimana saya bisa membantu Anda hari ini.,ham,,,,,,
"Maaf, tetapi teks tersebut tidak jelas atau tidak memiliki makna yang dapat diterjemahkan. Jika Anda memiliki pertanyaan atau informasi tambahan, silakan berikan agar saya dapat membantu Anda dengan lebih baik.Terima kasih!",ham,,,,,,
Kode verifikasi login Binance Anda: 020688. Jangan bagikan kode ini kepada siapapun. Kunjungi akun Binance Anda sekarang.,ham,,,,,,
Kode keamanan Discord Anda adalah: 719619 \,ham,,,,,,
"tzD9jY28Wrn""",ham,,,,,,
Dari Netflix: Hi insanakamil. Akun Anda meminta kode akses sementara. Silakan kunjungi: m.netflix.com/i8YwJyZtgoT,ham,,,,,,
PayPal: 723033 adalah kode keamanan Anda. Jangan bagikan kode Anda.,ham,,,,,,
