text,label
Bagaimana kabarmu? Semoga dalam keadaan sehat,ham
SELAMAT! Nomor Anda mendapat reward Rp100000 dari XL,spam
Promo spesial: Diskon 50% untuk laptop,spam
SELAMAT! Nomor Anda mendapat reward Rp1000000 dari XL,spam
Selamat hari raya untukmu,ham
Sampai jumpa di mall nanti,ham
"Halo, selamat siang hari ini",ham
Bagaimana kabarmu? Semoga dalam keadaan sehat,ham
Bonus pulsa 500000 untuk pengisian minimal Rp{min_amount},spam
Selamat tahun baru untukmu,ham
Bonus pulsa 1000000 untuk pengisian minimal Rp{min_amount},spam
Saya sedang bermain sekarang,ham
Bagaimana kabarmu? Semoga selalu bahagia,ham
Klik link berikut untuk klaim hadiah: short.link/ghi789,spam
"Saya sedang di restoran, cuacanya mendung",ham
Saya sedang bekerja sekarang,ham
Apakah kamu berbicara besok?,ham
"Halo, apa kabar hari ini",ham
Klik link berikut untuk klaim hadiah: tinyurl.com/def456,spam
Maaf saya tidak bisa berjalan hari ini,ham
Hubungi 08123456789 untuk info lebih lanjut,spam
PIN Anda: X9Y8Z7 untuk cek hadiah Indosat,spam
SELAMAT! Nomor Anda mendapat prize Rp50000 dari Bank BCA,spam
"Halo, selamat pagi hari ini",ham
Kapan kita bisa bekerja bersama?,ham
Hubungi 021-1234567 untuk info lebih lanjut,spam
Apakah kamu bekerja besok?,ham
PIN Anda: X9Y8Z7 untuk cek hadiah Smartfren,spam
Promo spesial: Diskon 70% untuk smartphone,spam
PIN Anda: P4Q5R6 untuk cek hadiah Bank BCA,spam
Bonus pulsa 1000000 untuk pengisian minimal Rp{min_amount},spam
Apakah kamu berbicara besok?,ham
Kapan kita bisa makan bersama?,ham
Kode verifikasi: 123456 untuk aktivasi akun,spam
Bagaimana kabarmu? Semoga selalu bahagia,ham
"Paket Internet spesial buat kamu. Internetan selama seminggu dgn kuota 1,5GB Cuma Rp10rb! Ayo segera Ketik KEBUT kirim ke 919 sd 29 Juli 2015. Jgn lupa ya",spam
Hubungi 0800123456 untuk info lebih lanjut,spam
"Saya sedang di rumah, cuacanya dingin",ham
Kapan kita bisa berjalan bersama?,ham
Kode verifikasi: 123456 untuk konfirmasi transfer,spam
Kapan kita bisa bermain bersama?,ham
Maaf saya tidak bisa bermain hari ini,ham
Bagaimana kabarmu? Semoga selalu bahagia,ham
Transfer ke rekening Mandiri a/n Sari No. Rek 1234567890,spam
Maaf saya tidak bisa bekerja hari ini,ham
Sampai jumpa di kantor nanti,ham
Maaf saya tidak bisa bekerja hari ini,ham
