id,pool,text,label
a00000,ads_spam,இபாதா ஹாஜி ஐ உடன் அதிரடி முகவரிபடமாக அனுஷ்டிக்கலாம். உள்ளயாளுக்கான கார்டுகளை மாற்ற தேவை இல்லை. இந்தாசாத் ஒருவரிலிருந்து இலஇட் உணர்த்துங்கள் உகரமான ஒரு நிமிஷம் / மநகர ஒரு நே முஞ்சங் இணைய கொடுத்துக்கொள்ளலாம் ரூ 30. தகவல்: * 122 * 1 # பாயை 3,spam
a00001,ads_spam,"Moby Pub-Quiz. Gewinnen Sie einen Preis im Wert von ¬£100, wenn Sie wissen, wer die neue Herzogin von Cornwall sein wird? Senden Sie ihren Vornamen an die 82277. Kündigen Sie STOP ¬£1.50 008704050406 SP.",spam
a00002,ads_spam,من فضلك توقف! bootydelious (32/F) تدعوك لتكون صديقًا لها. الرد بنعم-434 أو لا-434. شاهدها هنا: www.SMS.ac/u/bootydelious. هل ترغب في التوقف؟ أرسل STOP FRND إلى 62468.,spam
a00003,ads_spam,¿Quieres un nuevo teléfono de video? ¿750 minutos en cualquier red en cualquier momento? ¿Alquiler de línea a mitad de precio? ¿Cámara de video? Responde o llama al 08000930705 para entrega mañana.,spam
a00004,ads_spam,8007 25p 4 Canzone Children in Need di Alfie Moon sul tuo cell. Di' ai tuoi amici. Manda TONE CHARITY al 8007 per i Nokia o POLY CHARITY per i Polys : zed 08701417012 profitto 2 charity,spam
a00005,ads_spam,Se te ha otorgado un City Break y podrías GANAR un gasto de compras de verano de £200 cada semana. Envía el texto TIENDA al 88039. SkilGme. TsCs 087147403231Gana cada semana. Más de 16 años. £1.50 por semana para participar.,spam
a00006,ads_spam,هل ترغب في حضور السينما مع عائلتك مجانًا؟ سيجنا تقدم عرضًا خاصًا لك. انتظر اتصالًا منا. معلومات سيجنا، انقر على bit.ly/tentangCIGNA.,spam
a00007,ads_spam,Veuillez recharger 20ewu de crédit sur ce numéro 085285485839 Mas Agus,spam
a00008,ads_spam,WOW! பள்ளிஆள் மீது உருப்பு சோமித்துளை. TAKE THAT 2007 UK சுற்றுலா. VIP உரிய உருப்புகள் வெற்றி பெயருள்ளவை மற்றும் VIP கிளப் உடன் முன்னணி-புத்தகம் தயாராக்கவும். நடுக்கை CLUB மூலத்திற்கு 81303 உடயநடவுக்கை செய்க. Trackmarque Ltd info@vipclub4u.,spam
a00009,ads_spam,ඔබට දැන් මුදල යවන්න අයිආර්එස්ට්නට https://tinyurl.com/8974 මායාක්ඨාවයි.,spam
a00010,ads_spam,يرجى الملاحظة: بطاقة SIM الخاصة بك تلقي نقاط مكافأة إضافية بقيمة 555 نقطة من PT.INDOSAT. رمزك: 277fg49 ، لمزيد من المعلومات ، قم بزيارة www.indosat-555.blogspot.com أو اتصل على: 021-3338-0074.,spam
a00011,ads_spam,تم إعلامكم بأن شركة إندوفود المحدودة تعلن أنكم الفائز بالجائزة رقم (3) في ترويج بوبمي مع الرمز: 2aiu87e، للمزيد من المعلومات، يرجى النقر على www.promoundian-popmie.jimdo.com.,spam
a00012,ads_spam,You are currently enjoying the Regular Package with a remaining quota of 209715 KB. Get various economical Tri INTERNET Packages at *123*3#,spam
a00013,ads_spam,Heißer Sommerschlussverkauf! Kaufen Sie ein Stück Strandbekleidung und erhalten Sie ein weiteres kostenlos bei TrendyStyles. Jetzt einkaufen unter www.trendystyles.com/sale7,spam
a00014,ads_spam,"تخفيضات حارة بنسبة 45% ""ميرديكا""! كوتا 5 غيغابايت، صالحة لمدة 30 يومًا (Rp125rb) فقط Rp68rb عرض محدود! تحقق الآن عن طريق الإتصال بـ *111*1# .D966",spam
a00015,ads_spam,"Merci pour votre commande de sonnerie, numéro de référence X29. Votre mobile sera facturé 4,50. Si votre sonnerie n'arrive pas, veuillez appeler le service client au 09065989180.",spam
