text,label
Il tuo codice di verifica Uber è 0540. Non condividerlo con nessuno.,ham
Ваш код подтверждения Сбербанк: 3105. Никому не сообщайте его.,ham
"JNE: Paket Anda 186039806122 telah dikirim, tiba besok.",ham
"ゆうちょ銀行: Your card was used for ¥4,990 at WALMART #2891. Reply YES if this was you, NO if not.",ham
Your electricity bill of 14 500 ₽ is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
Your electricity bill of Rp 1.482.000 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"BNP Paribas: Votre carte a été utilisée pour 499,99 €. Répondez OUI si c'est vous, NON sinon.",ham
UPS: Out for delivery today. Your driver is Marcus in a grey van.,ham
PostNL: Je pakket 6383536043 is vandaag bezorgd.,ham
SEUR: Su paquete 899812294432 fue entregado hoy a las 14:14.,ham
СДЭК: Ваша посылка 5532459133 доставлена сегодня.,ham
PTT Kargo: Kargonuz 6468628555 bugün teslim edildi.,ham
BRT: Il tuo pacco 040527651621 è stato consegnato oggi.,ham
三井住友銀行の確認コードは868319です。誰にも教えないでください。,ham
СДЭК: Ваша посылка 597834938352 доставлена сегодня.,ham
"Your electricity bill of ¥1,980 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
G-4335 is your Google verification code.,ham
Il tuo codice di verifica WhatsApp è 8793. Non condividerlo con nessuno.,ham
Your electricity bill of £278.44 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"三菱UFJ銀行: A new device signed in to your account. If this was you, no action needed.",ham
رمز التحقق الخاص بـ Amazon هو 2647. لا تشاركه مع أي شخص.,ham
"Your electricity bill of € 12,90 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
Il tuo codice di verifica Google è 243077. Non condividerlo con nessuno.,ham
【日本郵便】お荷物4915194763を本日お届けしました。,ham
"Wells Fargo: Your card was used for £1.10 at WALMART #2891. Reply YES if this was you, NO if not.",ham
Tu código de verificación de Netflix es 3057. No lo compartas con nadie.,ham
"Su factura de luz de 1,99 € vence el 21 de junio. Pague en la app para evitar recargos.",ham
Votre code de vérification Uber est 698060. Ne le partagez avec personne.,ham
"Paytm: Aapke card se ₹1,482 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
"Deutsche Bank: Ihre Karte wurde für 499,99 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
"Sua conta de luz de R$ 49,90 vence em 21/06. Pague no aplicativo.",ham
Kode verifikasi Microsoft Anda adalah 143143. Jangan berikan kepada siapa pun.,ham
Your electricity bill of 499 TL is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
Poste Italiane: Il tuo pacco 5131961309 è stato consegnato oggi.,ham
קוד האימות שלך ל-Microsoft הוא 030873. אל תשתף אותו עם אף אחד.,ham
Reminder: Your dental appointment with Dr. Patel is tomorrow at 9:30 AM. Reply C to confirm or R to reschedule.,ham
"Garanti BBVA: Your card was used for 1.482 TL at WALMART #2891. Reply YES if this was you, NO if not.",ham
"Ihre Stromrechnung über 184,50 € ist am 21. Juni fällig. Zahlen Sie in der App.",ham
"Ciao, ci vediamo domani alle 15 per un caffè? Portami quel libro se puoi",ham
