text,label
BNI: Rekening Anda akan diblokir. Verifikasi data Anda: portal.login-pay.online,phishing
"AVISO: Peaje pendiente de 1,99 €. Pague ahora para evitar recargos: account.client-login.app",phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://shorturl.at/p97178,spam
Banco do Brasil: Sua conta foi bloqueada. Atualize seus dados agora: id-check-service.top,phishing
Il tuo codice di verifica Uber è 0540. Non condividerlo con nessuno.,ham
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://cutt.ly/f107650,spam
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://shorturl.at/j009007,spam
Delhivery: Aapka parcel customs mein ruka hai. ₹499 pay karein: id-check-service-billing.net,phishing
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://tinyurl.com/f2070 18+",spam
India Post: Aapka parcel customs mein ruka hai. ₹99 pay karein: update.login.top,phishing
"Coinbase: Withdrawal of 0.45 BTC initiated. If this wasn't you, cancel immediately: verify.client.vip",phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://is.gd/z7209,spam
"Poste Italiane: Il tuo pacco è in giacenza. Paga 1,99 € per lo sdoganamento: update.pay-pay.online",phishing
Ваш код подтверждения Сбербанк: 3105. Никому не сообщайте его.,ham
Earn $3000/week working from home! No experience needed. Limited spots: https://tinyurl.com/w022203,spam
"ULTIMO AVVISO: Pedaggio non pagato di 184,50 €. Paga ora: update-login-billing.net",phishing
BCA: Rekening Anda akan diblokir. Verifikasi data Anda: billing-service.xyz,phishing
"DERNIER AVIS: Péage impayé de 12,90 €. Réglez maintenant pour éviter une amende: account-service-login.app",phishing
Schnellkredit bis 5.000€ heute! Auch bei negativer Schufa. Beantragen: https://t.ly/p211413,spam
"JNE: Paket Anda 186039806122 telah dikirim, tiba besok.",ham
"Uma cobrança de R$ 1.482,00 foi feita. Se não reconhece, ligue para 06 49 55 17 47 imediatamente.",phishing
IRS: You have a pending tax refund of 499 TL. Claim before the deadline: billing.pay-billing.net,phishing
"Cassino online: R$ 49,90 de bônus grátis para novos jogadores! https://is.gd/f373074",spam
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://bit.ly/j7488 18+",spam
"Hi, this is HR. We're updating payroll. Please confirm your bank account details before Friday's run: payroll-service-billing.net",phishing
"ゆうちょ銀行: Your card was used for ¥4,990 at WALMART #2891. Reply YES if this was you, NO if not.",ham
Your electricity bill of 14 500 ₽ is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://cutt.ly/q792823 18+",spam
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://tinyurl.com/r814376",spam
Gagnez 700€/semaine depuis chez vous! Aucune expérience. Rejoignez: https://shorturl.at/d894944,spam
Your electricity bill of Rp 1.482.000 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://is.gd/f198084",spam
B a n k o f A m e r i c a A l e r t : Y o u r a c c o u n t h a s b e e n l o c k e d . V e r i f y n o w a t s e c u r e . s e r v i c e . t o p,phishing
FINAL NOTICE: Unpaid toll of ¥49.90. Pay now to avoid a late fee and license suspension: id-check-login-verify.net,phishing
"Hi, this is HR. We're updating payroll. Please confirm your bank account details before Friday's run: billing-service.cn-bank.com",phishing
"DHL: החבילה שלך מעוכבת במכס. שלם 1,490 ₪ לשחרור: account-service-pay.online",phishing
IRS: You have a pending tax refund of ¥9.90. Claim before the deadline: update.client-login.app,phishing
"BNP Paribas: Votre carte a été utilisée pour 499,99 €. Répondez OUI si c'est vous, NON sinon.",ham
DHL: Your parcel is held pending a £1.10 customs fee. Pay within 24h or it returns to sender: account.pay.live,phishing
"Мам, это я, телефон сломался, вот мой новый номер. Срочно нужна помощь с переводом, потом объясню",phishing
200 Freispiele ohne Einzahlung im Jackpot Casino! Jetzt spielen: https://rb.gy/w859555,spam
SALDI 80% di sconto solo oggi! Acquista: https://bit.ly/y9908,spam
UPS: Out for delivery today. Your driver is Marcus in a grey van.,ham
Pinjaman cepat cair hari ini hingga 10 juta tanpa jaminan! Daftar: https://t.ly/e32497,spam
PostNL: Je pakket 6383536043 is vandaag bezorgd.,ham
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://bit.ly/v687648,spam
"Coinbase: Withdrawal of 0.45 BTC initiated. If this wasn't you, cancel immediately: update.pay-verify.net",phishing
"ULTIMO AVVISO: Pedaggio non pagato di 499,99 €. Paga ora: verify.service.top",phishing
Your MetaMask wallet will be suspended. Validate your seed phrase to keep access: billing.login.cn-bank.com,phishing
Empréstimo rápido até R$5.000 hoje! Nome sujo aprova. Solicite: https://is.gd/a8257,spam
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://is.gd/q7528 18+",spam
SEUR: Su paquete 899812294432 fue entregado hoy a las 14:14.,ham
СДЭК: Ваша посылка 5532459133 доставлена сегодня.,ham
PTT Kargo: Kargonuz 6468628555 bugün teslim edildi.,ham
BRT: Il tuo pacco 040527651621 è stato consegnato oggi.,ham
限时90折！仅限今天，立即抢购：https://t.ly/f2299,spam
三井住友銀行の確認コードは868319です。誰にも教えないでください。,ham
СДЭК: Ваша посылка 597834938352 доставлена сегодня.,ham
SALE! Aaj sirf 50% off. Abhi khareedein: https://is.gd/y9691,spam
"Uma cobrança de R$ 1.482,00 foi feita. Se não reconhece, ligue para 1-812-271-2371 imediatamente.",phishing
"Your electricity bill of ¥1,980 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
"Hi, this is HR. We're updating payroll. Please confirm your bank account details before Friday's run: verify-pay.info",phishing
"FINAL NOTICE: Unpaid toll of $1,482.00. Pay now to avoid a late fee and license suspension: account.client-login.app",phishing
G-4335 is your Google verification code.,ham
Crédit Agricole: Votre compte a été bloqué. Vérifiez votre identité immédiatement: billing.service.top,phishing
Il tuo codice di verifica WhatsApp è 8793. Non condividerlo con nessuno.,ham
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://t.ly/r6586 18+",spam
FLASH SALE 50% Rabatt nur heute! Jetzt kaufen: https://bit.ly/t6058,spam
Your electricity bill of £278.44 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"Receita Federal: Você tem uma restituição de R$ 49,90. Confirme seus dados: portal.service.info",phishing
Gagnez 700€/semaine depuis chez vous! Aucune expérience. Rejoignez: https://cutt.ly/x176999,spam
LCL: Votre compte a été bloqué. Vérifiez votre identité immédiatement: verify-pay-secure.com,phishing
"三菱UFJ銀行: A new device signed in to your account. If this was you, no action needed.",ham
رمز التحقق الخاص بـ Amazon هو 2647. لا تشاركه مع أي شخص.,ham
"Agenzia Entrate: Hai diritto a un rimborso di 499,99 €. Conferma i tuoi dati: billing-service-billing.net",phishing
SNS Bank: Uw rekening is geblokkeerd. Verifieer uw identiteit: id-check-client.xyz,phishing
"Your electricity bill of € 12,90 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.",ham
Уour pаckаgе needs а fеe. Pау аt httрs://сutt.ly/a3277,phishing
FINAL NOTICE: Unpaid toll of £1.10. Pay now to avoid a late fee and license suspension: toll.service.info,phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://tinyurl.com/m2237,spam
Empréstimo rápido até R$5.000 hoje! Nome sujo aprova. Solicite: https://bit.ly/h6725,spam
FINAL NOTICE: Unpaid toll of 1 990 ₽. Pay now to avoid a late fee and license suspension: portal-client.xyz,phishing
بنك مصر: تم إيقاف حسابك مؤقتاً. تحقق من هويتك الآن: billing-client.vip,phishing
IRS: You have a pending tax refund of 9.90 ₪. Claim before the deadline: account-service.xyz,phishing
Il tuo codice di verifica Google è 243077. Non condividerlo con nessuno.,ham
【日本郵便】お荷物4915194763を本日お届けしました。,ham
"FINAL NOTICE: Unpaid toll of 1,490 ₪. Pay now to avoid a late fee and license suspension: account.service.xyz",phishing
Sé lo que viste en internet. Te grabé con tu cámara. Paga $950 en Bitcoin en 48 horas o tus contactos verán el video.,phishing
"Wells Fargo: Your card was used for £1.10 at WALMART #2891. Reply YES if this was you, NO if not.",ham
"Coinbase: Se inició un retiro de 0.45 BTC. Si no fue usted, cancele aquí: account-login-pay.online",phishing
PROMOÇÃO! 50% de desconto só hoje. Compre já: https://rb.gy/z781353,spam
India Post: Aapka parcel customs mein ruka hai. ₹499 pay karein: portal-client-billing.net,phishing
"FINAL NOTICE: Unpaid toll of 1,490 ₪. Pay now to avoid a late fee and license suspension: portal-client.xyz",phishing
¿Necesitas dinero? Hasta 5.000€ hoy mismo. Sin aval. Solicita: https://bit.ly/y502742,spam
FINAL NOTICE: Unpaid toll of 499 TL. Pay now to avoid a late fee and license suspension: verify.pay-login.app,phishing
Tu código de verificación de Netflix es 3057. No lo compartas con nadie.,ham
"Su factura de luz de 1,99 € vence el 21 de junio. Pague en la app para evitar recargos.",ham
Hesabınızdan 499 TL çekildi. Tanımıyorsanız hemen +1 (881) 763-1623 numarasını arayın.,phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://cutt.ly/g67877",spam
Votre code de vérification Uber est 698060. Ne le partagez avec personne.,ham
"Paytm: Aapke card se ₹1,482 ka transaction hua. Reply YES agar aapne kiya, NO agar nahi.",ham
"Hi, this is HR. We're updating payroll. Please confirm your bank account details before Friday's run: id-check.pay-secure.com",phishing
"Deutsche Bank: Ihre Karte wurde für 499,99 € verwendet. Antworten Sie JA wenn das Sie waren, sonst NEIN.",ham
Your MetaMask wallet will be suspended. Validate your seed phrase to keep access: restore-pay.top,phishing
"Se ha realizado un cargo de 499,99 € en su cuenta. Si no lo reconoce, llame al 07 92 92 96 96 de inmediato.",phishing
"Coinbase: Withdrawal of 0.45 BTC initiated. If this wasn't you, cancel immediately: id-check.pay-pay.online",phishing
أرامكس: شحنتك معلقة في الجمارك. ادفع 10 ريال للإفراج: verify.pay.info,phishing
"AVISO: Peaje pendiente de 8,450 MXN. Pague ahora para evitar recargos: update.client.xyz",phishing
"Ich weiß, welche Seiten Sie besucht haben. Ich habe Sie über die Kamera aufgenommen. Zahlen Sie 950$ in Bitcoin, sonst sehen es alle Kontakte.",phishing
"Sua conta de luz de R$ 49,90 vence em 21/06. Pague no aplicativo.",ham
Kode verifikasi Microsoft Anda adalah 143143. Jangan berikan kepada siapa pun.,ham
C i t i b a n k A l e r t : Y o u r a c c o u n t h a s b e e n l o c k e d . V e r i f y n o w a t s e c u r e . p a y - l o g i n . a p p,phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://cutt.ly/h4016",spam
"Coinbase: Se inició un retiro de 0.45 BTC. Si no fue usted, cancele aquí: portal.login-verify.net",phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://t.ly/z792557,spam
"Eine Abbuchung von 499,99 € wurde vorgenommen. Falls nicht autorisiert, rufen Sie +44 7937 890772 an.",phishing
FLASH SALE 90% OFF everything today only! Shop now: https://tinyurl.com/y5936 Reply STOP to opt out,spam
Your electricity bill of 499 TL is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
"PayPal: You sent 1,490 ₪ to GeekTech Store. If you did not authorize this, call +44 7605 858730 within 24 hrs.",phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://is.gd/s132159,spam
IRS: You have a pending tax refund of $3.95. Claim before the deadline: verify.pay-pay.online,phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://is.gd/d931585",spam
Poste Italiane: Il tuo pacco 5131961309 è stato consegnato oggi.,ham
Santander: Sua conta foi bloqueada. Atualize seus dados agora: id-check-client-pay.online,phishing
Lose 15 lbs in 2 weeks with this 1 weird trick doctors HATE! Free trial: https://t.ly/m396371,spam
"FINAL NOTICE: Unpaid toll of 1,490 ₪. Pay now to avoid a late fee and license suspension: id-check.login-verify.net",phishing
Bina diet weight ghatao! Ayurvedic capsule sirf 999. Order: https://tinyurl.com/b877531,spam
Earn $3000/week working from home! No experience needed. Limited spots: https://bit.ly/s5946,spam
"Cassino online: R$ 1.482,00 de bônus grátis para novos jogadores! https://is.gd/p49173",spam
РаyPal: уоur асcоunt іs limіted. Restоrе аccess: іd-chеck.clіent.top,phishing
"FINAL NOTICE: Unpaid toll of ¥1,980. Pay now to avoid a late fee and license suspension: account-pay-verify.net",phishing
【顺丰速运】您的包裹因关税被扣留，请支付¥9.90：verify-login.top,phishing
IRS: You have a pending tax refund of 1.482 TL. Claim before the deadline: verify.client-verify.net,phishing
РауРаl: уour асcount is lіmіted. Rеstоre аcсess: іd-chеck.lоgіn.vір,phishing
"Correos: Su paquete está retenido en aduana. Pague 8,450 MXN para liberarlo: billing.login-secure.com",phishing
P a y P a l : y o u r a c c o u n t i s l i m i t e d . R e s t o r e a c c e s s : u p d a t e - c l i e n t - s e c u r e . c o m,phishing
"LAATSTE WAARSCHUWING: Onbetaalde tol € 184,50. Betaal nu: update-login-billing.net",phishing
קוד האימות שלך ל-Microsoft הוא 030873. אל תשתף אותו עם אף אחד.,ham
"Hesabınızdan 19,90 TL çekildi. Tanımıyorsanız hemen 06 41 28 56 14 numarasını arayın.",phishing
¿Necesitas dinero? Hasta 5.000€ hoy mismo. Sin aval. Solicita: https://shorturl.at/e32729,spam
Reminder: Your dental appointment with Dr. Patel is tomorrow at 9:30 AM. Reply C to confirm or R to reschedule.,ham
DHL: Your parcel is held pending a £1.10 customs fee. Pay within 24h or it returns to sender: portal-pay-verify.net,phishing
"【京东物流】您的包裹因关税被扣留，请支付¥1,482：express-pay.cn-bank.com",phishing
خصم 70% على منتجات التخسيس! اطلب الآن: https://t.ly/s7885,spam
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://is.gd/g89022",spam
Aapke account se ₹99 cut hua hai. Agar aapne nahi kiya to turant 1-816-540-6596 par call karein.,phishing
Gagnez 700€/semaine depuis chez vous! Aucune expérience. Rejoignez: https://tinyurl.com/s1271,spam
РaуPаl: уоur аccоunt is limitеd. Rеstоrе aссess: bіlling.sеrvісe.infо,phishing
"Garanti BBVA: Your card was used for 1.482 TL at WALMART #2891. Reply YES if this was you, NO if not.",ham
FINAL NOTICE: Unpaid toll of 10 ريال. Pay now to avoid a late fee and license suspension: id-check-login-billing.net,phishing
تخفيضات 70% على كل المنتجات اليوم فقط! تسوق الآن: https://cutt.ly/a565520,spam
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://t.ly/s5707",spam
Your MetaMask wallet will be suspended. Validate your seed phrase to keep access: id-check-service-secure.com,phishing
Earn $3000/week working from home! No experience needed. Limited spots: https://bit.ly/c29027,spam
"Ihre Stromrechnung über 184,50 € ist am 21. Juni fällig. Zahlen Sie in der App.",ham
Уоur саrd іs susрendеd. Сall 888-402-1176 to rе-асtіvate.,phishing
بنك مصر: تم إيقاف حسابك مؤقتاً. تحقق من هويتك الآن: verify-pay-pay.online,phishing
"Ciao, ci vediamo domani alle 15 per un caffè? Portami quel libro se puoi",ham
Раздача! 499 ₽ каждому новому игроку казино: https://bit.ly/h32108 18+,spam
Aapke account se ₹99 cut hua hai. Agar aapne nahi kiya to turant +1 (812) 628-6814 par call karein.,phishing
IRS: You have a pending tax refund of Rp 1.482.000. Claim before the deadline: verify-login-billing.net,phishing
Earn $3000/week working from home! No experience needed. Limited spots: https://cutt.ly/u3315,spam
מבצע! 90% הנחה היום בלבד! לרכישה: https://cutt.ly/e7179,spam
خصم 70% على منتجات التخسيس! اطلب الآن: https://cutt.ly/w14517,spam
Poste Italiane: Il tuo conto è stato bloccato. Verifica la tua identità: account-client-verify.net,phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://bit.ly/s035701",spam
FINAL NOTICE: Unpaid toll of $3.95. Pay now to avoid a late fee and license suspension: toll.service.info,phishing
Pinjaman cepat cair hari ini hingga 10 juta tanpa jaminan! Daftar: https://cutt.ly/v459438,spam
SBI Alert: Aapka account block ho jayega. Turant KYC update karein: portal.service.cn-bank.com,phishing
"Geek Squad: Your $499.99 annual plan auto-renews today. To cancel, call 06 89 64 13 47 immediately.",phishing
СДЭК: Ваша посылка задержана на таможне. Оплатите 14 500 ₽: id-check.pay-billing.net,phishing
Earn $3000/week working from home! No experience needed. Limited spots: https://tinyurl.com/k343844,spam
Earn $3000/week working from home! No experience needed. Limited spots: https://is.gd/s5615,spam
Your electricity bill of ¥9.90 is due Jun 21. Pay in the app or at your provider's website to avoid late fees.,ham
ING: Ihr Konto wurde gesperrt. Bestätigen Sie Ihre Identität: portal-service.top,phishing
"IRS: You have a pending tax refund of 19,90 TL. Claim before the deadline: account-login.top",phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://t.ly/m9354",spam
FINAL NOTICE: Unpaid toll of ¥9.90. Pay now to avoid a late fee and license suspension: toll.client-login.app,phishing
"Bahis sitemize üye ol, 1.482 TL deneme bonusu kap: https://cutt.ly/e6516",spam
أرامكس: شحنتك معلقة في الجمارك. ادفع 1.99 دولار للإفراج: portal.client-billing.net,phishing
"Coinbase: Withdrawal of 0.45 BTC initiated. If this wasn't you, cancel immediately: securityhold-service.vip",phishing
"WIN BIG! Mega Jackpot Casino - 200 FREE spins, no deposit! Play: https://shorturl.at/q052684 18+",spam
РАСПРОДАЖА! Скидка 70% только сегодня! Купить: https://tinyurl.com/m1375,spam
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://cutt.ly/h378655",spam
Your MetaMask wallet will be suspended. Validate your seed phrase to keep access: restore-service-login.app,phishing
La Banque Postale: Votre compte a été bloqué. Vérifiez votre identité immédiatement: account.login.top,phishing
Yоur cаrd іs susрended. Cаll 888-402-1176 tо rе-activаte.,phishing
בנק הפועלים: חשבונך הוגבל עקב פעילות חריגה. אמת את פרטיך: verify-client.vip,phishing
رمز التحقق الخاص بـ WhatsApp هو 4591. لا تشاركه مع أي شخص.,ham
"Geek Squad: Your $1.99 annual plan auto-renews today. To cancel, call 06 17 27 14 84 immediately.",phishing
"IRS: You have a pending tax refund of $1,482.00. Claim before the deadline: update.login.live",phishing
"Need cash fast? Get up to $5,000 deposited TODAY. Bad credit OK! Apply: https://tinyurl.com/w01730",spam
"Coinbase: Инициирован вывод 0.45 BTC. Если это не вы, отмените: update.pay-verify.net",phishing
