text,label,category,language
"Hey, did you catch the game last night? That last-minute goal was insane",ham,personal,en
"URGENT - call me as soon as you see this, mom fell and we're at the ER",ham,personal_urgent,en
"I forgot my password again lol, can you text me the wifi one?",ham,personal_password,en
"Dinner at ours Saturday? Bring that wine you mentioned, the cheap one was actually great",ham,personal,en
"Your Chase Sapphire card was used for $403.22 at WALMART #2891. Reply YES if this was you, NO if not.",ham,legit_fraud_alert,en
Your Uber code is 7782. Never share this code.,ham,legit_otp,en
G-728401 is your Google verification code.,ham,legit_otp,en
Microsoft access code: 4417. Don't share it with anyone else.,ham,legit_otp,en
Your USPS package 9405511899561234567890 was delivered to your mailbox at 2:14 PM.,ham,legit_delivery,en
UPS: Your package is out for delivery today. Track at ups.com using number 1Z999AA10123456784.,ham,legit_delivery,en
Your Amazon order #112-7366915 has shipped. Arriving Thursday by 8 PM.,ham,legit_delivery,en
Your electricity bill of $86.40 is due Jun 21. Pay in the app or at pge.com to avoid late fees.,ham,legit_billing,en
Lincoln Elementary: School closed tomorrow due to snow. All after-school activities cancelled.,ham,legit_alert,en
NWS ALERT: Flash flood warning for your area until 9 PM. Avoid low-lying roads. Visit weather.gov for updates.,ham,legit_alert,en
"Your prescription is ready for pickup at CVS Pharmacy, 1420 Oak St. Questions? Call 555-301-2200.",ham,legit_reminder,en
"Hi it's Megan from Dr. Lee's office - your lab results are in, nothing urgent, call us when convenient.",ham,legit_business,en
Your DoorDash order is arriving. Marcus is outside in a grey Honda Civic.,ham,legit_delivery,en
"Bank of America: A new device signed in to your account on Jun 12. If this was you, no action needed. Otherwise call the number on your card.",ham,legit_fraud_alert,en
Your flight UA1182 is delayed to 4:55 PM. New gate: C22. We apologize for the inconvenience.,ham,legit_travel,en
Venmo: You paid Jake Miller $25.00 for 'pizza',ham,legit_payment,en
"Hey it's Sam from the climbing gym, you left your chalk bag here, we'll hold it at the front desk",ham,personal,en
Ton colis Chronopost arrivera demain entre 9h et 12h. Suivi sur chronopost.fr,ham,legit_delivery,fr
"Papa, n'oublie pas le rendez-vous chez le médecin demain à 15h. Je passe te chercher à 14h30",ham,personal,fr
Ihr Termin beim Bürgeramt am 18.06. um 10:15 Uhr ist bestätigt. Bitte bringen Sie Ihren Ausweis mit.,ham,legit_reminder,de
"Schatz, ich bin noch im Büro, fang schon mal ohne mich an zu essen",ham,personal,de
رمز التحقق الخاص بك هو 392841. لا تشاركه مع أي شخص.,ham,legit_otp,ar
أمي وصلت بالسلامة، سأتصل بك مساءً إن شاء الله,ham,personal,ar
הקוד שלך לאימות הוא 558212. אל תשתף אותו עם אף אחד.,ham,legit_otp,he
Ваш код подтверждения: 904712. Никому не сообщайте его.,ham,legit_otp,ru
Seu código de verificação Nubank: 331928. Não compartilhe com ninguém.,ham,legit_otp,pt
"Oi amor, cheguei bem, te ligo mais tarde",ham,personal,pt
Kode OTP Anda adalah 718293. Jangan berikan kode ini kepada siapa pun.,ham,legit_otp,id
"Bu akşam yemeğe geç kalacağım, beni beklemeyin",ham,personal,tr
您的验证码是 847291，请勿告诉他人。,ham,legit_otp,zh
妈，我到学校了，晚上视频聊,ham,personal,zh
Apka OTP hai 552941. Kisi ke saath share na karein.,ham,legit_otp,hi-latn
"Beta khana kha lena, main der se aaungi aaj office se",ham,personal,hi-latn
FINAL NOTICE: Your vehicle has an unpaid toll of $6.99. Pay now to avoid a $50 late fee and license suspension: ezpass-tollservices.com,phishing,toll_scam,en
E-ZPass: Outstanding toll balance $4.15. Settle immediately at https://ezdrivema.com-pay.vip or face DMV penalties.,phishing,toll_scam,en
SunPass Alert: Your account will be suspended. Unpaid toll: $3.87. Pay here: sunpass.com-billing.net,phishing,toll_scam,en
USPS: Your package is held at our facility due to an incomplete address. Confirm details within 24h: usps-redelivery.info,phishing,delivery_scam,en
FedEx: Customs fee of $1.99 required to release your parcel. Pay at fedex-clearance.com or package returns to sender.,phishing,delivery_scam,en
Royal Mail: We attempted delivery today. Reschedule and pay the £1.10 handling fee: royalmail-redelivery.co,phishing,delivery_scam,en
Chase Alert: Your account has been LOCKED due to suspicious activity. Verify your identity now: chase-secure-login.com,phishing,bank_scam,en
