text,label,category,language
"Hey, did you catch the game last night? That last-minute goal was insane",ham,personal,en
"URGENT - call me as soon as you see this, mom fell and we're at the ER",ham,personal_urgent,en
"I forgot my password again lol, can you text me the wifi one?",ham,personal_password,en
Your Uber code is 7782. Never share this code.,ham,legit_otp,en
Microsoft access code: 4417. Don't share it with anyone else.,ham,legit_otp,en
UPS: Your package is out for delivery today. Track at ups.com using number 1Z999AA10123456784.,ham,legit_delivery,en
Lincoln Elementary: School closed tomorrow due to snow. All after-school activities cancelled.,ham,legit_alert,en
NWS ALERT: Flash flood warning for your area until 9 PM. Avoid low-lying roads. Visit weather.gov for updates.,ham,legit_alert,en
"Hi it's Megan from Dr. Lee's office - your lab results are in, nothing urgent, call us when convenient.",ham,legit_business,en
Your DoorDash order is arriving. Marcus is outside in a grey Honda Civic.,ham,legit_delivery,en
Your flight UA1182 is delayed to 4:55 PM. New gate: C22. We apologize for the inconvenience.,ham,legit_travel,en
Venmo: You paid Jake Miller $25.00 for 'pizza',ham,legit_payment,en
"Hey it's Sam from the climbing gym, you left your chalk bag here, we'll hold it at the front desk",ham,personal,en
"Papa, n'oublie pas le rendez-vous chez le médecin demain à 15h. Je passe te chercher à 14h30",ham,personal,fr
"Schatz, ich bin noch im Büro, fang schon mal ohne mich an zu essen",ham,personal,de
"Bu akşam yemeğe geç kalacağım, beni beklemeyin",ham,personal,tr
E-ZPass: Outstanding toll balance $4.15. Settle immediately at https://ezdrivema.com-pay.vip or face DMV penalties.,phishing,toll_scam,en
SunPass Alert: Your account will be suspended. Unpaid toll: $3.87. Pay here: sunpass.com-billing.net,phishing,toll_scam,en
USPS: Your package is held at our facility due to an incomplete address. Confirm details within 24h: usps-redelivery.info,phishing,delivery_scam,en
Royal Mail: We attempted delivery today. Reschedule and pay the £1.10 handling fee: royalmail-redelivery.co,phishing,delivery_scam,en
"Wells Fargo: Unusual sign-in detected from Russia. If this wasn't you, secure your account immediately: wf-fraud-center.net",phishing,bank_scam,en
Your Zelle transfer of $950 to MARK T. is processing. Not you? Cancel here: zelle-dispute.center,phishing,bank_scam,en
NETFLIX: Your payment failed. Update your billing info within 48h to keep watching: netflix-billing-update.com,phishing,subscription_scam,en
Apple ID: Your account has been disabled for security reasons. Restore access: appleid.apple.com.verify-session.info,phishing,account_scam,en
Your iCloud storage is full. Photos will be deleted in 48h. Get 50GB free: icloud-storage-renewal.com,phishing,account_scam,en
AMAZON: We could not authorize your recent payment. Your Prime benefits are paused. Re-verify: amzn-account-services.net,phishing,subscription_scam,en
HMRC: You are owed a tax rebate of £278.44. Submit your claim: hmrc-rebate-gateway.uk,phishing,gov_scam,en
DMV FINAL WARNING: Your driver's license will be suspended due to an unpaid violation. Resolve now: dmv-citations-pay.com,phishing,gov_scam,en
"Grandma, I'm in trouble and need bail money. Please don't tell mom and dad. Send $800 via Zelle to this number ASAP.",phishing,family_emergency,en
"Congratulations! You've been selected for a remote position at Amazon. $450/day, no experience. Reply YES or join: t.me/amazonhiring882",phishing,job_scam,en
"Hello, I'm Linda from Indeed HR. We reviewed your resume and would like to offer flexible online work, 30 min/day, $200-500. Interested?",phishing,job_scam,en
Your Netflix subscription expired! Renew now for free 90 days promo (today only): netfIix-promo.com,phishing,subscription_scam,en
Account alert: unusual login attempt. Call our security desk immediately at +1 (888) 402-9917 to avoid permanent closure.,phishing,vishing_callback,en
Verify your Microsoft 365 work account to avoid mailbox suspension: microsoft365-auth.login-portal.live,phishing,account_scam,en
Your student loan forgiveness application is PRE-APPROVED. Complete enrollment before funds run out: studentaid-relief.org-apply.com,phishing,gov_scam,en
"FREE MONEY: Government stimulus of $1,400 available for you. Check eligibility: federal-benefits-check.com",phishing,gov_scam,en
"Your electricity will be disconnected TODAY at 1 PM due to non-payment. Avoid disconnection, pay now: poweraccount-billing.com or call 877-330-1196",phishing,utility_scam,en
"Hi, I'm selling my late husband's Rolex collection cheap, saw your number in a collectors group. Interested? WhatsApp me: +44 7911 028841",phishing,advance_fee,en
You have (1) unclaimed reward worth $500 from your mobile carrier. Expires tonight: verizon-loyalty-rewards.net,phishing,reward_scam,en
Ваш аккаунт Госуслуги заблокирован. Подтвердите личность: gosuslugi-id-verify.ru,phishing,gov_scam,ru
